Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
NGC_2232,96.888,-4.749,214.458,-7.471,0.516,188,-4.745,0.291,-1.84,0.252,3.067,0.099,NN,7.25,0.01,7.49,315,-257,-176,-40,8599
Gulliver_47,107.932,0.827,214.512,4.891,0.161,73,-1.957,0.093,-0.432,0.076,0.491,0.05,NN,8.54,0.31,11.43,1930,-1585,-1089,164,9984
LP_930,102.845,-1.801,214.529,-0.834,0.078,161,-0.915,0.135,2.996,0.101,0.391,0.063,NN,9.36,0.74,11.87,2371,-1953,-1343,-34,10380
UBC_625,119.119,6.342,214.636,17.335,0.12,8,-1.657,0.209,-1.302,0.204,0.4,0.027,notEnoughStars,---,---,---,---,---,---,---,---
ASCC_29,103.571,-1.67,214.743,-0.128,0.137,46,-1.008,0.13,-1.019,0.115,0.944,0.063,NN,7.97,0.19,10.12,1057,-869,-602,-2,9229
UBC_441,99.998,-3.613,214.85,-4.189,0.075,34,0.123,0.079,-0.443,0.072,0.471,0.04,NN,8.24,0.84,11.5,1991,-1629,-1134,-145,10034
Alessi_60,105.619,-1.12,215.188,1.944,0.048,67,-0.83,0.09,-0.653,0.091,0.336,0.058,NN,8.35,0.83,12.35,2953,-2412,-1700,100,10885
Berkeley_73,95.52,-6.321,215.261,-9.393,0.016,45,0.227,0.209,1.11,0.161,0.128,0.16,NN,9.15,0.69,13.95,6158,-4960,-3507,-1005,13755
NGC_2286,101.916,-3.167,215.322,-2.282,0.074,140,0.188,0.126,-1.468,0.115,0.407,0.074,NN,8.74,0.94,11.8,2286,-1864,-1320,-91,10289
NGC_2682,132.846,11.814,215.691,31.921,0.166,598,-10.986,0.193,-2.964,0.201,1.135,0.051,NN,9.63,0.07,9.75,889,-613,-440,470,8964
NGC_2215,95.199,-7.277,215.985,-10.104,0.173,115,0.436,0.114,-3.673,0.124,1.021,0.054,NN,8.84,0.47,9.95,978,-779,-566,-171,9137
UBC_442,100.581,-4.624,216.018,-4.123,0.048,33,0.184,0.063,-0.22,0.102,0.194,0.035,NN,9.16,0.7,13.11,4182,-3374,-2453,-300,11968
UBC_214,105.689,-2.117,216.115,1.552,0.083,71,-0.634,0.1,-0.56,0.097,0.324,0.044,NN,8.3,0.56,12.2,2756,-2226,-1624,74,10690
FSR_1113,107.3,-1.502,216.299,3.264,0.024,20,-0.566,0.079,1.913,0.083,0.254,0.048,NN,9.44,0.14,12.88,3767,-3031,-2226,214,11586
UPK_429,108.961,-0.875,216.494,5.018,0.404,131,-2.045,0.17,0.071,0.121,1.122,0.081,NN,8.15,0.09,9.78,904,-724,-535,79,9079
UBC_215,100.461,-5.243,216.528,-4.506,0.132,51,-0.122,0.088,-3.099,0.128,0.683,0.026,NN,8.61,1.11,10.76,1419,-1137,-842,-111,9514
UBC_626,106.476,-2.304,216.628,2.165,0.038,25,-1.18,0.069,0.8,0.087,0.215,0.029,NN,8.88,0.51,13.09,4141,-3320,-2468,156,11919
UBC_216,100.431,-5.789,216.975,-4.799,0.124,57,-0.084,0.103,-0.904,0.114,0.825,0.05,NN,7.79,0.76,10.41,1209,-962,-724,-101,9330
FSR_1117,94.159,-8.945,217.046,-11.764,0.09,26,-3.711,0.218,0.704,0.354,1.049,0.13,NN,7.19,1.52,9.8,911,-712,-537,-185,9067
UBC_443,98.638,-6.818,217.109,-6.839,0.08,48,0.256,0.081,0.076,0.135,0.298,0.045,NN,8.95,0.9,12.51,3171,-2511,-1899,-377,11016
Berkeley_37,110.075,-1.002,217.132,5.958,0.04,106,-1.113,0.143,0.682,0.102,0.197,0.074,NN,8.97,0.17,13.11,4185,-3319,-2513,434,11927
King_23,110.459,-0.988,217.296,6.305,0.059,89,-0.457,0.084,-0.879,0.086,0.279,0.06,NN,9.29,0.17,12.48,3136,-2480,-1889,344,10983
FSR_1125,102.619,-5.444,217.671,-2.693,0.024,23,-0.255,0.123,1.055,0.092,0.113,0.1,NN,8.08,2.25,14.13,6699,-5297,-4089,-314,14237
UPK_431,108.234,-2.635,217.764,3.525,0.583,75,-2.46,0.131,0.76,0.113,1.346,0.059,NN,8.78,0,9.42,765,-604,-468,47,8956
NGC_2311,104.455,-4.616,217.767,-0.688,0.059,82,-1.343,0.154,0.93,0.104,0.462,0.064,NN,7.65,1,11.51,2003,-1584,-1227,-24,9999
UBC_13,120.914,3.54,218.116,17.666,1.1,36,-7.749,0.158,-1.13,0.21,1.609,0.058,NN,8.26,0,9,629,-472,-370,191,8819
UPK_433,103.455,-5.729,218.274,-2.124,0.313,46,-0.783,0.138,-2.527,0.12,1.248,0.034,NN,8.26,0.25,9.48,787,-617,-487,-29,8970
Bochum_3,105.86,-5.021,218.767,0.372,0.033,17,-1.174,0.064,-0.19,0.119,0.448,0.061,NN,8.06,0.69,11.75,2238,-1745,-1401,14,10182
NGC_2225,96.652,-9.643,218.785,-9.86,0.026,54,-0.28,0.077,0.501,0.09,0.29,0.044,NN,9.14,0.96,12.65,3392,-2605,-2093,-580,11143
UPK_436,100.18,-8.126,218.99,-6.028,0.544,98,-4.119,0.175,0.635,0.175,1.157,0.083,NN,7.41,0.23,9.64,845,-653,-528,-88,9009
ASCC_30,104.271,-6.23,219.119,-1.587,0.27,46,-1.595,0.116,-0.171,0.072,0.897,0.045,NN,8.24,0.35,10.14,1067,-827,-673,-29,9192
ASCC_41,116.674,0.137,219.206,12.333,0.679,123,0.646,0.241,-3.99,0.221,3.352,0.117,NN,8.33,0,7.39,300,-227,-185,64,8569
vdBergh_80,97.739,-9.625,219.247,-8.891,0.143,75,-3.298,0.397,0.418,0.385,1.025,0.103,NN,6.81,1.53,9.8,910,-696,-569,-140,9054
Berkeley_77,110.362,-3.234,219.253,5.181,0.028,60,-1.001,0.107,-0.113,0.106,0.257,0.091,NN,8.87,0.29,12.79,3617,-2789,-2279,326,11361
NGC_2302,102.977,-7.086,219.298,-3.121,0.065,51,-1.453,0.127,-0.228,0.155,0.8,0.087,NN,8.03,0.57,10.5,1258,-972,-796,-68,9346
BDSB91,96.319,-10.551,219.468,-10.554,0.036,32,-3.183,0.196,1.15,0.282,1.033,0.067,NN,7.15,1.8,9.91,961,-729,-600,-176,9089
FSR_1144,104.298,-6.628,219.486,-1.744,0.047,60,-1.28,0.097,1.144,0.16,0.512,0.043,NN,7.81,0.66,11.29,1808,-1395,-1149,-55,9802
UBC_217,108.213,-4.692,219.558,2.605,0.057,24,-2.608,0.086,2.146,0.08,0.377,0.018,NN,8.9,0.36,12.1,2630,-2026,-1673,119,10500
UBC_627,120.007,1.469,219.595,15.9,0.126,16,-1.976,0.192,0.339,0.384,0.382,0.036,NN,9.32,0.12,12.12,2651,-1965,-1625,726,10432
Haffner_3,106.027,-6.133,219.831,0.01,0.042,29,-1.179,0.111,-0.906,0.085,0.379,0.057,NN,8.77,0.79,12,2511,-1928,-1608,0,10394
NGC_2309,104.02,-7.18,219.852,-2.242,0.052,196,-0.495,0.125,-0.634,0.127,0.393,0.063,NN,8.07,1.07,11.93,2431,-1865,-1556,-95,10323
UBC_444,105.311,-6.837,220.139,-0.953,0.098,26,-1.506,0.09,-2.49,0.081,0.915,0.022,NN,8.69,0.3,10.18,1084,-829,-699,-18,9195
FSR_1150,106.146,-6.621,220.32,-0.108,0.028,34,-0.5,0.095,0.102,0.084,0.224,0.055,NN,8.85,0.9,12.73,3507,-2674,-2269,-6,11245
UBC_628,107.153,-6.212,220.418,0.971,0.045,22,-0.535,0.057,0.555,0.048,0.161,0.013,NN,9.2,0.57,13.43,4853,-3694,-3146,82,12439
FSR_1153,108.573,-5.658,220.578,2.477,0.046,7,-1.376,0.069,1.206,0.084,0.33,0.058,notEnoughStars,---,---,---,---,---,---,---,---
BDSB93,104.297,-8.202,220.888,-2.462,0.036,32,-2.41,0.239,1.021,0.27,0.77,0.128,NN,7.2,1.77,10.39,1196,-903,-782,-51,9276
UBC_445,108.501,-6.563,221.355,1.988,0.08,36,-0.916,0.09,-1.322,0.069,0.347,0.026,NN,8.51,0.58,12.2,2751,-2063,-1816,95,10561
UPK_442,98.4,-11.549,221.558,-9.061,1.125,54,-2.58,0.172,-1.322,0.188,1.558,0.075,NN,8.23,0.26,8.97,622,-460,-407,-98,8809
NGC_2323,105.684,-8.365,221.66,-1.315,0.263,773,-0.688,0.271,-0.611,0.2,0.997,0.057,NN,8.12,0.46,9.96,983,-734,-653,-22,9098
Ivanov_4,105.144,-8.861,221.858,-2.016,0.019,9,-1.355,0.103,1.022,0.292,0.355,0.077,NN,7.8,1.24,11.97,2480,-1846,-1654,-87,10320
FSR_1163,104.81,-9.078,221.9,-2.409,0.076,37,0.192,0.1,1.215,0.1,0.396,0.054,NN,9.13,1.05,11.85,2345,-1744,-1565,-98,10205
UPK_445,92.385,-15.03,221.97,-15.954,0.294,58,-2.634,0.218,1.377,0.225,1.467,0.078,NN,7.11,0.7,9.11,663,-474,-426,-182,8824
Ruprecht_4,102.248,-10.524,222.049,-5.315,0.037,50,-0.197,0.092,0.096,0.09,0.214,0.056,NN,8.93,1.24,13.06,4087,-3022,-2726,-378,11684
Melotte_111,186.014,25.652,222.546,83.401,3.112,306,-12.03,0.537,-8.973,0.845,11.595,0.398,GDR2HRD,8.81,0,4.67,85,-7,-6,85,8347
UBC_447,106.389,-9.026,222.568,-0.991,0.089,69,-1.089,0.105,-0.146,0.086,0.373,0.035,NN,8.39,1.26,12.14,2673,-1968,-1808,-46,10466
FSR_1170,106.873,-8.879,222.656,-0.506,0.019,17,-0.639,0.104,-0.213,0.072,0.33,0.042,NN,8.29,1.85,12.46,3110,-2287,-2107,-27,10834
UBC_218,106.514,-9.163,222.779,-0.937,0.251,163,-1.175,0.128,0.871,0.09,0.345,0.036,NN,7.49,1.01,12.16,2704,-1984,-1836,-44,10486
FSR_1171,105.058,-10.32,223.119,-2.757,0.014,15,0.244,0.111,-0.858,0.191,0.21,0.05,tooRed,---,---,---,---,---,---,---,---
FSR_1172,103.909,-11.035,223.244,-4.087,0.021,14,-0.486,0.116,-0.247,0.128,0.39,0.064,NN,8.05,1.71,12.01,2526,-1835,-1726,-180,10320
Alessi_21,107.69,-9.363,223.457,-0.014,0.467,113,-5.475,0.194,2.602,0.162,1.72,0.07,NN,7.82,0.29,8.85,587,-426,-404,0,8776
Berkeley_39,116.702,-4.665,223.532,10.087,0.055,530,-1.73,0.179,-1.645,0.129,0.201,0.103,NN,9.75,0.29,12.99,3968,-2832,-2690,694,11491
NGC_2335,106.69,-10.023,223.59,-1.192,0.11,162,-0.784,0.143,-0.642,0.126,0.585,0.058,NN,8.51,0.83,11.1,1661,-1202,-1145,-34,9611
Ruprecht_1,99.084,-14.157,223.96,-9.692,0.126,115,-0.316,0.098,-0.9,0.103,0.631,0.04,NN,8.46,0.61,10.93,1533,-1088,-1049,-258,9486
FSR_1180,108.897,-9.453,224.09,1,0.067,58,-1.208,0.074,1.815,0.058,0.327,0.036,NN,8.74,1.15,12.15,2686,-1929,-1868,46,10437
FSR_1183,108.357,-9.884,224.224,0.328,0.039,30,-1.419,0.083,1.217,0.067,0.428,0.048,NN,8.26,0.4,11.71,2201,-1577,-1535,12,10035
NGC_2343,107.029,-10.619,224.271,-1.17,0.064,44,0.193,0.132,-0.195,0.102,0.898,0.038,NN,7.94,0.51,10.18,1088,-779,-759,-22,9150
vdBergh_92,106.038,-11.475,224.587,-2.427,0.112,168,-4.54,0.198,1.618,0.226,0.842,0.081,NN,6.89,1.27,10.38,1193,-849,-837,-50,9227
NGC_2353,108.641,-10.257,224.684,0.403,0.116,204,-1.121,0.143,0.72,0.148,0.816,0.057,NN,8.01,0.28,10.43,1220,-867,-858,8,9247
UBC_629,121.07,-3.797,224.885,14.303,0.191,16,-2.262,0.241,0.094,0.229,0.315,0.022,NN,9.52,0.02,12.38,2998,-2058,-2050,740,10598
UBC_448,113.508,-8.089,225.04,5.664,0.041,22,-1.429,0.072,0.568,0.111,0.304,0.022,NN,8.46,0.3,12.49,3144,-2211,-2214,310,10781
Berkeley_76,106.672,-11.735,225.102,-1.994,0.052,37,-0.58,0.149,1.4,0.167,0.218,0.09,NN,9.22,1.38,13.38,4746,-3347,-3359,-165,12161
Berkeley_33,104.456,-13.227,225.448,-4.6,0.032,126,-0.73,0.117,1.551,0.137,0.144,0.07,NN,8.37,1.75,13.84,5851,-4092,-4156,-469,13108
BDSB96,106.332,-12.327,225.477,-2.561,0.045,65,-3.843,0.322,1.071,0.274,0.844,0.105,manual,6.9,1.22,10.29,1144,-801,-815,-51,9178
Gulliver_13,104.858,-13.254,225.649,-4.263,0.115,72,-2.941,0.125,0.281,0.113,0.62,0.061,NN,9,0.78,10.9,1513,-1055,-1079,-112,9456
NGC_2204,93.882,-18.67,226.016,-16.114,0.098,531,-0.56,0.117,1.964,0.129,0.209,0.066,NN,9.32,0.01,13.01,3991,-2663,-2759,-1107,11344
Ruprecht_8,105.424,-13.539,226.153,-3.901,0.147,46,-1.02,0.099,-1.424,0.087,0.444,0.047,NN,8.6,1.03,11.76,2251,-1555,-1619,-153,10027
NGC_2318,104.854,-13.822,226.155,-4.523,0.172,128,-1.781,0.112,-2.198,0.11,0.716,0.042,NN,8.64,0.89,10.72,1394,-963,-1002,-109,9356
Czernik_30,112.796,-9.945,226.336,4.158,0.03,85,-0.587,0.138,-0.097,0.142,0.11,0.079,NN,9.46,0.62,14.11,6647,-4577,-4796,482,13779
NGC_2345,107.075,-13.199,226.585,-2.316,0.091,418,-1.332,0.103,1.34,0.113,0.348,0.051,NN,8.32,1.04,12.13,2663,-1829,-1933,-107,10351
Berkeley_25,100.317,-16.487,226.613,-9.629,0.019,20,-0.114,0.122,0.845,0.16,0.077,0.037,NN,9.39,1.07,14.16,6780,-4591,-4858,-1134,13814
FSR_1207,106.883,-13.328,226.613,-2.542,0.024,44,-1.289,0.184,0.762,0.146,0.348,0.095,NN,8.38,1.29,12,2513,-1724,-1824,-111,10229
UPK_452,110.203,-11.712,226.677,1.149,0.316,28,-5.757,0.166,3.191,0.169,1.567,0.108,NN,8.22,0.28,9.02,636,-436,-462,12,8788
FSR_1209,106.785,-13.827,227.014,-2.856,0.033,41,-0.928,0.129,0.689,0.09,0.19,0.073,NN,8.45,1.3,13.69,5467,-3723,-3994,-272,12707
FSR_1211,115.336,-9.607,227.247,6.516,0.038,57,-3.137,0.086,2.564,0.093,0.288,0.042,NN,9.08,0.19,12.6,3311,-2233,-2415,375,10845
Gaia_1,101.474,-16.733,227.325,-8.736,0.086,185,-0.079,0.122,1.249,0.155,0.145,0.096,NN,9.5,0.59,14.05,6460,-4328,-4694,-981,13510
FSR_1212,106.941,-14.145,227.366,-2.867,0.031,24,-0.246,0.214,0.314,0.196,0.216,0.14,NN,9.14,1.54,14.93,9682,-6550,-7114,-484,16502
Haffner_8,110.777,-12.31,227.479,1.293,0.04,93,-1.626,0.083,0.446,0.09,0.314,0.048,NN,8.38,1.16,12.39,3009,-2033,-2217,67,10608
Berkeley_36,109.105,-13.196,227.496,-0.563,0.046,150,-1.725,0.15,0.86,0.157,0.206,0.086,NN,9.83,1.42,13.2,4360,-2945,-3214,-42,11734
NGC_2396,111.984,-11.725,227.524,2.61,0.184,148,-1.514,0.101,-0.249,0.07,0.653,0.051,NN,7.86,0.36,10.81,1453,-980,-1070,66,9381
NGC_2548,123.412,-5.726,227.842,15.39,0.369,454,-1.313,0.194,1.029,0.178,1.289,0.065,NN,8.59,0.15,9.44,772,-500,-552,205,8857
Melotte_72,114.618,-10.698,227.862,5.369,0.053,177,-4.159,0.11,3.68,0.093,0.369,0.055,NN,8.99,0.41,12.14,2684,-1793,-1981,251,10325
Haffner_6,109.998,-13.151,227.864,0.226,0.049,154,-1.22,0.095,1.96,0.102,0.204,0.057,NN,8.79,1.36,13.25,4466,-2996,-3311,17,11810
Haffner_4,106.512,-15.002,227.939,-3.627,0.024,57,-0.417,0.11,0.904,0.099,0.223,0.074,NN,8.66,1.05,13.52,5051,-3377,-3742,-319,12300
Basel_11a,109.296,-13.988,228.284,-0.768,0.078,92,-1.581,0.135,0.929,0.125,0.709,0.06,NN,7.98,0.33,10.67,1363,-907,-1017,-18,9302
NGC_2374,111.016,-13.235,228.405,1.061,0.156,56,-4.665,0.13,0.659,0.089,0.76,0.066,NN,8.46,0.34,10.42,1212,-804,-906,22,9189
UBC_630,112.836,-12.699,228.806,2.855,0.093,15,-2.62,0.064,2.66,0.039,0.42,0.008,NN,8.1,0.48,11.73,2216,-1457,-1665,110,9938
Ruprecht_24,112.964,-12.785,228.913,2.944,0.051,7,-0.781,0.044,0.462,0.036,0.483,0.027,notEnoughStars,---,---,---,---,---,---,---,---
Melotte_71,114.383,-12.065,228.951,4.506,0.075,533,-2.446,0.115,4.21,0.113,0.434,0.056,NN,8.99,0.38,11.65,2139,-1400,-1608,168,9872
NGC_2401,112.352,-13.968,229.667,1.855,0.015,84,-1.37,0.107,1.673,0.095,0.203,0.061,NN,7.78,0.75,13.38,4749,-3072,-3618,153,11971
NGC_2360,109.443,-15.631,229.804,-1.409,0.154,680,0.383,0.161,5.603,0.15,0.902,0.053,NN,9.01,0.39,10.25,1122,-724,-857,-27,9104
Haffner_23,107.389,-16.866,229.987,-3.729,0.117,49,-0.526,0.062,-0.077,0.064,0.448,0.035,NN,8.5,0.66,11.55,2042,-1310,-1560,-132,9775
UBC_631,112.709,-14.148,229.996,2.072,0.09,9,-1.381,0.064,1.633,0.088,0.195,0.005,notEnoughStars,---,---,---,---,---,---,---,---
UBC_449,115.22,-12.892,230.069,4.81,0.036,21,-1.386,0.067,1.797,0.061,0.294,0.028,NN,8.6,0.59,12.51,3171,-2028,-2423,265,10647
Waterloo_7,111.532,-15.09,230.275,0.623,0.024,35,-1.514,0.099,1.695,0.072,0.27,0.06,NN,7.48,1.48,12.76,3560,-2275,-2738,38,10963
UBC_632,121.59,-9.602,230.361,11.887,0.078,19,-2.471,0.116,1.729,0.115,0.264,0.023,notEnoughStars,---,---,---,---,---,---,---,---
UPK_457,104.482,-18.741,230.384,-7.033,0.273,20,-3.839,0.08,5.173,0.136,1.02,0.036,notEnoughStars,---,---,---,---,---,---,---,---
NGC_2423,114.299,-13.863,230.487,3.561,0.268,406,-0.735,0.124,-3.632,0.149,1.045,0.051,NN,9.04,0.36,9.87,943,-599,-726,58,8968
NGC_2506,120.01,-10.773,230.57,9.938,0.088,1468,-2.571,0.143,3.912,0.113,0.292,0.078,NN,9.22,0.09,12.52,3191,-1996,-2428,550,10618
Czernik_29,112.1,-15.385,230.796,0.963,0.059,147,-1.406,0.298,1.354,0.219,0.235,0.068,NN,8.18,1.09,12.71,3485,-2202,-2700,58,10883
Haffner_10,112.156,-15.364,230.804,1.021,0.029,163,-1.144,0.14,1.557,0.142,0.259,0.092,NN,9.58,1.35,12.66,3409,-2154,-2641,60,10821
NGC_2422,114.147,-14.489,230.964,3.128,0.259,416,-7.057,0.259,0.993,0.247,2.07,0.066,NN,8.04,0.18,8.52,504,-317,-391,27,8666
NGC_2287,101.499,-20.716,230.98,-10.432,0.332,625,-4.339,0.178,-1.381,0.199,1.36,0.057,NN,8.23,0.02,9.19,688,-426,-526,-124,8782
NGC_2358,109.261,-17.143,231.061,-2.269,0.21,83,-1.351,0.085,0.542,0.091,1.061,0.053,NN,8.82,0.02,9.79,908,-570,-705,-35,8938
UBC_633,112.824,-15.429,231.162,1.549,0.096,16,-1.343,0.091,1.477,0.078,0.173,0.006,NN,7.14,1.82,13.75,5629,-3529,-4383,152,12652
Alessi_17,113.853,-15.098,231.359,2.585,0.022,15,-1.526,0.088,1.557,0.104,0.264,0.058,notEnoughStars,---,---,---,---,---,---,---,---
NGC_2414,113.293,-15.449,231.404,1.942,0.043,117,-1.41,0.087,1.426,0.113,0.162,0.064,NN,7.25,1.48,13.61,5273,-3287,-4119,178,12335
DBSB_3,107.579,-18.434,231.468,-4.285,0.033,43,-1.937,0.155,2.696,0.152,0.281,0.054,NN,6.58,1.57,12.55,3238,-2011,-2526,-241,10655
NGC_2425,114.577,-14.885,231.513,3.299,0.046,244,-3.571,0.133,2.004,0.13,0.257,0.069,NN,9.38,0.89,12.77,3576,-2222,-2794,205,10925
Teutsch_49,109.596,-17.585,231.601,-2.192,0.077,59,-0.347,0.135,0.104,0.174,0.35,0.09,tooRed,---,---,---,---,---,---,---,---
UBC_12,126.027,-8.405,231.616,16.244,0.463,19,-8.301,0.138,4.131,0.187,2.219,0.054,NN,8.37,0.23,8.32,461,-275,-347,129,8622
UBC_220,110.65,-17.174,231.712,-1.115,0.052,34,-1.322,0.094,1.453,0.066,0.33,0.031,NN,8.5,1.47,12.5,3157,-1955,-2477,-61,10589
Haffner_9,111.175,-17.001,231.795,-0.586,0.035,126,-0.832,0.124,0.424,0.13,0.337,0.069,NN,8.58,1.38,12.32,2906,-1797,-2283,-29,10391
UPK_467,121.237,-11.42,231.875,10.661,0.605,106,-6.968,0.301,-1.662,0.186,1.692,0.1,NN,8.07,0.13,8.81,579,-351,-447,107,8702
NGC_2437,115.445,-14.844,231.889,4.051,0.211,1733,-3.838,0.149,0.365,0.144,0.603,0.06,NN,8.48,0.73,10.9,1511,-930,-1185,106,9345
Ruprecht_26,114.271,-15.587,231.982,2.699,0.187,73,-3.2,0.094,0.071,0.092,0.923,0.049,NN,7.5,0.27,10.16,1078,-663,-848,50,9043
Auner_1,106.06,-19.748,231.992,-6.16,0.026,41,-0.28,0.13,1.015,0.128,0.093,0.096,NN,9.49,0.99,14.77,8984,-5500,-7038,-964,15527
UBC_221,114.297,-15.681,232.077,2.683,0.039,56,-1.217,0.066,2.821,0.078,0.423,0.027,manual,8.85,0.99,11.89,2389,-1467,-1883,111,9986
UPK_468,118.411,-13.511,232.15,7.217,0.087,13,-1.53,0.073,0.131,0.096,1.125,0.038,NN,7.83,0.17,9.68,862,-524,-675,108,8890
Tombaugh_1,105.126,-20.569,232.339,-7.311,0.051,179,-2.564,0.103,3.833,0.107,0.371,0.045,NN,9.1,0.66,12.04,2554,-1548,-2005,-325,10089
Ruprecht_10,106.626,-20.125,232.571,-5.854,0.047,25,-0.849,0.074,0.564,0.105,0.435,0.043,NN,8.46,0.55,11.71,2198,-1329,-1737,-224,9824
UPK_470,108.394,-19.495,232.71,-4.079,0.577,115,-4.819,0.185,4.224,0.135,0.963,0.066,NN,7.62,0.37,9.92,965,-583,-766,-68,8956
Bochum_4,112.877,-17.229,232.772,0.734,0.136,21,-3.014,0.073,1.848,0.082,0.761,0.028,NN,7.98,0.39,10.55,1285,-777,-1023,16,9174
Tombaugh_2,105.773,-20.82,232.836,-6.88,0.028,224,-0.464,0.17,1.349,0.177,0.079,0.082,NN,9.21,0.83,14.85,9316,-5587,-7370,-1115,15757
UBC_634,109.928,-18.975,232.976,-2.565,0.043,16,-1.698,0.04,1.406,0.107,0.321,0.017,NN,8.25,0.58,12.35,2952,-1776,-2354,-132,10386
FSR_1252,110.659,-18.703,233.063,-1.823,0.045,70,-1.822,0.077,2.99,0.076,0.263,0.052,NN,8.93,0.9,12.41,3035,-1823,-2425,-96,10448
Ruprecht_151,115.315,-16.279,233.079,3.236,0.113,41,-4.272,0.158,3.242,0.171,0.867,0.056,NN,8.65,0.43,10.26,1126,-675,-899,63,9060
NGC_2428,114.831,-16.55,233.087,2.697,0.146,163,-3.316,0.122,2.461,0.102,0.706,0.05,NN,8.86,0.32,10.61,1322,-793,-1056,62,9194
FSR_1253,111.583,-18.433,233.24,-0.924,0.057,102,-2.089,0.117,1.878,0.112,0.223,0.055,NN,8.47,1.41,13.32,4607,-2757,-3691,-74,11695
UBC_450,110.103,-19.353,233.361,-2.607,0.124,38,-1.844,0.077,1.367,0.095,0.315,0.02,NN,7.84,0.72,12.41,3040,-1812,-2436,-138,10440
UBC_451,100.71,-23.7,233.421,-12.353,0.085,14,-1.158,0.074,-0.03,0.062,0.517,0.012,NN,7.79,0.07,11.37,1882,-1095,-1476,-402,9550
NGC_2539,122.658,-12.834,233.721,11.106,0.187,485,-2.331,0.127,-0.584,0.118,0.754,0.064,NN,8.84,0.11,10.45,1228,-713,-971,236,9105
UBC_452,111.185,-19.225,233.767,-1.644,0.103,24,-1.327,0.062,0.652,0.092,0.258,0.022,NN,9,0.7,12.65,3389,-2002,-2733,-97,10697
Mayer_3,112.523,-18.553,233.771,-0.198,0.026,23,-1.892,0.091,2.336,0.118,0.209,0.091,tooRed,---,---,---,---,---,---,---,---
Ruprecht_16,110.798,-19.48,233.811,-2.074,0.071,50,-2.174,0.085,2.501,0.095,0.304,0.045,NN,8.43,0.73,12.43,3066,-1809,-2473,-110,10446
UBC_453,109.524,-20.295,233.97,-3.5,0.057,43,-0.851,0.06,1.624,0.068,0.201,0.029,NN,8.04,1.45,13.27,4501,-2643,-3633,-274,11568
UBC_454,109.278,-20.661,234.189,-3.89,0.058,44,-0.605,0.07,1.162,0.089,0.286,0.029,NN,8.4,0.67,12.58,3278,-1913,-2652,-222,10591
DBSB_6,112.493,-19.102,234.239,-0.486,0.036,15,-1.931,0.1,2.442,0.095,0.255,0.04,NN,7.5,2.34,12.89,3792,-2216,-3077,-32,10995
UBC_455,115.386,-17.584,234.249,2.653,0.036,23,-1.943,0.04,2.447,0.073,0.243,0.025,NN,7.12,0.77,12.74,3527,-2058,-2859,163,10784
Berkeley_75,102.252,-23.999,234.308,-11.191,0.032,39,-0.264,0.132,1.088,0.158,0.088,0.083,NN,9.23,0.29,14.6,8304,-4752,-6616,-1611,14669
DBSB_7,113.855,-18.677,234.49,0.848,0.106,34,-1.683,0.119,2.401,0.089,0.351,0.092,NN,8.44,1.45,12.13,2667,-1549,-2171,39,10124
FSR_1260,112.088,-19.679,234.563,-1.098,0.049,40,-3.159,0.071,3.444,0.069,0.321,0.048,NN,8.15,0.71,12.38,2989,-1733,-2435,-57,10363
UBC_222,109.924,-20.841,234.64,-3.445,0.073,31,-2.691,0.057,2.829,0.086,0.452,0.029,NN,8.63,0.56,11.72,2207,-1274,-1796,-132,9781
UBC_456,110.217,-20.78,234.704,-3.162,0.06,26,-0.869,0.048,1.16,0.066,0.267,0.021,NN,8.03,0.99,12.63,3355,-1936,-2734,-185,10633
Bochum_6,112.992,-19.416,234.741,-0.224,0.075,75,-2.28,0.128,2.308,0.159,0.249,0.085,NN,6.81,1.59,12.97,3931,-2269,-3210,-15,11084
Ruprecht_37,117.452,-17.249,234.943,4.527,0.026,75,-1.7,0.126,2.417,0.101,0.195,0.091,NN,9.35,0.3,13.28,4526,-2591,-3693,357,11539
LP_198,112.127,-20.107,234.957,-1.27,0.096,79,-2.262,0.062,2.497,0.095,0.278,0.063,NN,8.41,0.54,12.54,3213,-1844,-2630,-71,10519
UBC_457,109.85,-21.407,235.114,-3.763,0.046,35,-1.913,0.055,2.482,0.069,0.351,0.037,NN,7.74,0.84,12.12,2653,-1514,-2171,-174,10090
UBC_458,115.321,-18.699,235.189,2.05,0.032,17,-3.051,0.062,2.932,0.081,0.224,0.006,NN,8.46,0.62,12.72,3505,-1999,-2876,125,10732
NGC_2383,111.174,-20.949,235.274,-2.455,0.036,242,-1.646,0.081,1.907,0.114,0.284,0.057,NN,8.41,0.84,12.69,3456,-1967,-2838,-148,10691
Ruprecht_45,119.894,-16.292,235.311,7.026,0.071,105,-2.712,0.081,2.817,0.093,0.192,0.059,NN,9.5,0.2,13.03,4043,-2283,-3299,494,11124
UBC_224,111.415,-20.903,235.341,-2.227,0.211,195,-2.299,0.103,3.102,0.122,0.326,0.038,NN,7.17,0.98,12.07,2592,-1473,-2131,-100,10042
