Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
UBC_32,279.312,-14.096,18.779,-3.305,0.924,60,-1.768,0.282,-9.279,0.335,3.563,0.049,NN,8.14,0.55,7.24,280,265,90,-16,8075
UBC_345,276.005,-12.256,18.918,0.399,0.129,43,-0.452,0.084,-1.706,0.105,0.472,0.031,NN,7.16,3.38,11.51,2005,1897,650,13,6475
UPK_20,281.145,-14.456,19.257,-5.037,0.401,64,3.336,0.192,1.145,0.193,2.105,0.064,NN,9.33,0.96,8.47,494,465,162,-43,7876
UPK_21,282.895,-15.15,19.397,-6.884,0.234,51,7.839,0.164,0.721,0.166,1.667,0.059,NN,9.06,0.81,8.81,578,541,190,-69,7800
NGC_6631,276.79,-12.029,19.48,-0.171,0.049,74,-0.388,0.134,-2.918,0.118,0.329,0.058,manual,8.3,2.8,12.14,2676,2522,892,-7,5885
Gulliver_41,277.718,-12.429,19.546,-1.16,0.032,44,-1.79,0.297,-4.709,0.257,0.171,0.132,tooRed,---,---,---,---,---,---,---,---
Dias_6,277.617,-12.33,19.588,-1.027,0.049,190,0.482,0.131,-0.591,0.138,0.331,0.074,NN,9.04,1.85,12.01,2524,2377,846,-45,6021
Ruprecht_143,278.174,-12.148,20.002,-1.426,0.045,78,0.722,0.114,-1.086,0.103,0.323,0.059,NN,8.6,2.38,12.21,2764,2597,945,-68,5820
UBC_346,276.039,-10.623,20.352,1.136,0.093,31,2.888,0.085,-1.074,0.106,0.621,0.032,NN,9.02,1.66,10.94,1543,1446,536,30,6914
UBC_347,276.722,-10.968,20.392,0.388,0.062,20,-1.404,0.096,-4.909,0.116,0.721,0.016,NN,8.93,2.3,10.8,1443,1352,502,9,7005
Ruprecht_144,278.437,-11.425,20.762,-1.321,0.15,32,0.142,0.125,-0.876,0.097,0.555,0.05,NN,7.48,1.9,11.01,1591,1487,564,-36,6875
Ruprecht_147,289.087,-16.333,20.93,-12.76,0.652,169,-0.939,0.445,-26.576,0.581,3.25,0.103,NN,9.48,0.06,7.55,323,294,112,-71,8046
UBC_573,275.017,-9.46,20.936,2.551,0.074,17,-0.179,0.089,-4.474,0.042,0.532,0.026,NN,8.64,1.95,11.19,1728,1612,617,76,6755
Ruprecht_170,276.335,-9.995,21.071,1.172,0.071,65,0.452,0.127,-0.132,0.191,0.463,0.058,NN,7.77,1.99,11.67,2159,2015,776,44,6372
UPK_23,282.218,-12.879,21.149,-5.265,0.124,15,-0.913,0.079,-2.127,0.071,1.021,0.043,NN,8.04,1.11,9.94,972,903,349,-89,7444
NGC_6649,278.359,-10.399,21.637,-0.78,0.057,483,-0.007,0.178,-0.055,0.182,0.467,0.087,NN,7.85,3.9,11.64,2124,1974,783,-28,6413
UBC_100,281.238,-11.127,22.285,-3.655,0.104,25,-1.111,0.077,-3.323,0.097,0.702,0.009,NN,8.2,1.38,10.78,1429,1320,541,-91,7040
UPK_24,282.646,-10.788,23.03,-4.719,1.045,36,-3.751,0.124,-9.838,0.173,1.945,0.049,NN,8.43,0.95,8.51,502,460,195,-41,7881
UPK_25,267.878,-2.779,23.409,11.957,0.588,21,-0.346,0.086,0.218,0.123,1.584,0.037,NN,8.55,1.38,8.89,599,538,233,124,7804
