"ID","GLON","e_GLON","GLAT","e_GLAT","r","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","_RA.icrs","_DE.icrs"
FoF_2123,59.388,0.057,-2.479,0.039,0.147,0.592,0.033,-0.803,0.171,-2.38,0.316,59,0.363,0.0218,-0.25,297.9662,22.1113
FoF_2134,136.009,0.701,-2.08,0.154,1.327,0.454,0.017,-0.235,0.467,-0.793,0.511,252,0.141,0.0085,0,38.2606,58.1885
FoF_2139,157.327,0.133,-1.408,0.111,0.39,0.888,0.052,0.332,0.258,-4.22,0.24,156,0.331,0.0199,-0.25,67.6835,46.2993
FoF_2143,184.003,0.081,2.323,0.044,0.216,0.519,0.044,0.393,0.213,-0.022,0.167,61,0.955,0.0573,-0.25,90.9577,26.6563
FoF_2149,267.524,0.133,2.424,0.053,0.394,0.496,0.043,-5.115,0.384,3.937,1.091,76,0.933,0.056,-0.25,138.0995,-44.8658
FoF_2178,74.341,0.138,1.158,0.083,0.334,0.48,0.021,-2.881,0.261,-5.695,0.268,117,0.013,0.0008,0.5,303.5734,36.7097
FoF_2179,76.759,0.126,0.919,0.057,0.328,0.55,0.026,-3.285,0.311,-5.808,0.319,92,0.008,0.0005,0.5,305.5394,38.5749
FoF_2198,210.902,0.145,6.256,0.063,0.586,0.808,0.051,0.724,0.218,-1.036,0.262,101,1.59,0.0954,-0.25,107.5167,4.6475
FoF_2210,330.827,0.069,-4.307,0.042,0.194,0.686,0.029,0.011,0.235,-1.287,0.238,66,0.063,0.0038,0.5,247.1768,-54.9449
FoF_2219,264.875,0.188,-2.02,0.121,0.51,0.66,0.013,-5.078,0.19,4.655,0.211,78,0.02,0.0012,0.25,130.8509,-45.7591
FoF_2220,259.863,0.135,-1.306,0.076,0.377,0.719,0.029,-1.759,0.217,1.134,0.229,77,1.15,0.069,-0.5,127.4717,-41.3296
FoF_2230,157.438,0.176,0.516,0.076,0.483,1.12,0.035,1.605,0.239,-4.022,0.23,84,0.355,0.0213,0.25,69.8694,47.5177
FoF_2236,276.753,0.152,0.673,0.108,0.427,0.959,0.046,-1.661,0.2,-0.441,0.193,134,2.24,0.1344,-0.75,146.428,-52.4934
FoF_2238,289.458,0.095,3.387,0.048,0.285,0.811,0.024,-7.478,0.196,0.656,0.181,60,2.63,0.1578,-2,167.7018,-56.8289
FoF_2253,83.61,0.073,3.982,0.069,0.207,0.688,0.034,-1.159,0.301,-1.037,0.379,64,0.026,0.0016,-0.75,307.5099,45.9304
FoF_2275,105.847,0.273,-9.925,0.134,0.886,1.794,0.052,2.652,0.211,-1.909,0.201,86,0.032,0.0019,0.25,346.4501,49.4103
FoF_2309,310.437,0.121,-1.741,0.067,0.325,1,0.04,-6.165,0.279,-1.758,0.269,73,1.15,0.069,-0.5,209.9421,-63.6127
FoF_2383,224.148,0.301,-13.728,0.202,0.917,2.651,0.088,-5.377,0.312,4.967,0.316,88,0.033,0.002,0.25,95.3833,-16.0441
FoF_2385,248.869,0.896,-13.345,0.513,3.35,3.578,0.092,-9.755,0.366,7.029,0.375,211,0.006,0.0004,0,106.8507,-37.8411
FoF_2417,63.261,0.387,-0.525,0.24,0.887,1.829,0.046,2.363,0.281,-2.123,0.206,71,0.06,0.0036,0,298.3004,26.4372
FoF_2439,218.511,0.887,-2.038,0.595,2.397,3.542,0.087,-7.381,0.355,-2.569,0.364,148,0.008,0.0005,0.5,103.5883,-5.8938
FoF_2442,343.644,1.002,4.478,0.73,3.504,5.658,0.145,-11.894,0.607,-21.208,0.586,363,0.006,0.0004,0,250.372,-39.5646
