OC,GLON,GLAT,r,Nstar,Ncore,plx,s_plx,pmRA,s_pmRA,pmDE,s_pmDE,m-M,logAge,AG,Z,RA_ICRS,DE_ICRS
CWNU_65,245.796,3.234,0.19,32,23,0.99,0.04,-3.93,0.11,2.0,0.1,10.1,8.2,0.2,0.028,122.37651,-27.15874
CWNU_66,14.837,1.394,0.05,33,13,0.61,0.03,-0.25,0.12,-1.73,0.15,11.4,6.8,1.4,0.028,273.11245,-15.38172
CWNU_67,323.479,-2.512,0.06,33,16,0.54,0.03,-2.17,0.07,-3.52,0.11,10.7,8.38,1.8,0.028,234.99637,-58.49066
CWNU_68,262.909,-4.363,0.38,71,31,0.82,0.05,-6.29,0.2,5.02,0.33,10.3,7.78,0.7,0.017,126.48364,-45.58222
CWNU_69,234.158,-12.181,0.33,93,66,0.94,0.06,-1.52,0.12,2.45,0.15,10.1,8.6,0.4,0.018,101.19884,-24.27883
CWNU_70,254.535,-6.05,0.28,31,11,0.82,0.05,-4.06,0.16,4.59,0.21,10.3,7.98,0.6,0.027,118.43475,-39.47118
CWNU_71,255.762,-4.53,0.14,36,18,0.67,0.04,-4.2,0.14,3.38,0.08,11.1,8.52,1.2,0.028,120.94353,-39.72932
CWNU_72,217.519,0.474,0.22,35,12,0.64,0.04,-0.15,0.09,-0.8,0.1,11.3,7.86,0.5,0.028,105.37719,-3.86474
CWNU_73,147.486,4.112,0.15,68,36,0.69,0.06,1.04,0.1,-1.06,0.15,10.4,7.82,2.1,0.018,62.69185,57.15269
CWNU_74,216.76,-0.834,0.05,35,20,0.42,0.05,-1.81,0.11,1.07,0.07,11.6,8.76,1.2,0.01,103.86356,-3.78709
