Id,Nmem,ra,ra_sigma,dec,dec_sigma,plx,plx_sigma,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,n17,Z,age,N_rv,RV_mean,RV_std,RV_mad
CWWDL_633,31,110.1826,0.0357,-17.8849,0.0513,0.3607,0.0003,-1.1748,0.117,1.2925,0.0506,232.1281,0.0028,-1.8381,0.0009,22,0.4,7.58,1,37.768,,0
CWWDL_635,65,111.3387,0.0915,-20.7482,0.1522,0.3301,0.0004,-2.1278,0.1552,3.1226,0.0789,235.1695,0.0291,-2.2248,0.001,49,0.2,6.71,0,,,
CWWDL_642,116,115.5821,0.0072,-25.6093,0.0069,0.2574,0.0006,-1.9817,0.2464,2.874,0.3964,241.3132,0.0108,-1.1657,0.002,52,0.3,7.76,7,74.8906,19.3173,13.1629
CWWDL_650,89,117.9095,0.0043,-29.1694,0.0059,0.2468,0.0003,-1.9053,0.249,2.6389,0.3414,245.4302,0.0079,-1.172,0.0014,42,0.44,7.25,3,72.114,20.7956,15.782
CWWDL_652,34,118.5163,0.0036,-29.8958,0.0067,0.2726,0.0002,-2.2455,0.2315,3.3421,0.1692,246.3246,0.0087,-1.0915,0.0007,19,0.44,8.03,1,94.769,,0
CWWDL_660,174,119.5482,0.01,-32.0872,0.0099,0.2429,0.0004,-2.471,0.153,3.1309,0.2791,248.6576,0.0135,-1.4719,0.0037,88,0.44,7.82,11,74.5233,21.3379,16.5928
CWWDL_671,58,120.5392,0.0056,-33.3273,0.0051,0.2243,0.0001,-2.2058,0.2326,3.0873,0.5125,250.1514,0.0084,-1.4149,0.0007,19,0.42,7.88,3,80.667,25.3027,17.1173
CWWDL_681,101,122.9705,0.0091,-37.1805,0.0141,0.2873,0.0008,-2.5281,0.2301,2.9641,0.3488,254.4683,0.0167,-1.8196,0.0032,50,0.44,7.82,7,50.2904,19.1075,15.2268
CWWDL_700,43,132.3146,0.0179,-46.451,0.0102,0.275,0.0001,-3.4034,0.1358,3.7573,0.4167,266.0498,0.018,-1.6599,0.0008,17,-0.28,8.21,2,54.135,22.9088,16.199
CWWDL_706,95,133.0988,0.077,-47.6532,0.0609,0.4468,0.0002,-4.5849,0.1438,4.3049,0.4753,267.3181,0.0937,-2.0116,0.0023,64,0.4,7.79,6,25.2212,13.9611,11.1976
CWWDL_729,21,133.3429,0.0156,-47.6466,0.0139,0.2496,0,-4.2823,0.2543,4.3758,0.2102,267.4185,0.0199,-1.8803,0.0011,7,-0.28,7.97,2,64.3205,51.7609,36.6005
CWWDL_749,56,140.8748,0.1358,-53.7036,0.0902,0.31,0.0003,-4.7433,0.2228,3.9132,0.2864,275.1046,0.014,-2.467,0.0004,28,0.3,7.76,1,23.486,,0
CWWDL_765,70,143.6683,0.1377,-54.3804,0.0714,0.5499,0.0003,-5.5989,0.0271,4.9984,0.0251,276.7616,0.0098,-1.8294,0.0016,60,0.4,7.37,8,13.7001,17.4744,13.4813
CWWDL_772,86,154.0118,0.0077,-59.0562,0.0012,0.2913,0.0007,-7.0261,0.5009,3.7616,0.2779,284.1041,0.0025,-1.9872,0.0007,28,-0.04,7.61,3,5.543,15.7015,11.2507
CWWDL_794,35,158.8081,0.0025,-60.6963,0.001,0.2118,0,-5.2311,0.2737,2.4508,0.0976,287.0152,0.0011,-2.1049,0.0006,14,0.12,7.85,2,-6.943,17.5334,12.398
CWWDL_805,123,158.1769,0.0165,-60.4377,0.0027,0.29,0.0005,-6.0069,0.3435,2.8592,0.1889,286.6168,0.0056,-2.0374,0.0011,41,0.44,7.55,5,-4.9994,11.6601,8.4273
CWWDL_807,22,160.6134,0.0027,-61.5364,0.0008,0.2129,0,-5.9175,0.1427,2.8563,0.0685,288.1868,0.0011,-2.4139,0.0003,14,0.44,7.91,3,10.279,18.97,14.5873
CWWDL_826,60,163.0454,0.0051,-61.3562,0.0012,0.2383,0.0002,-6.1773,0.417,2.4379,0.087,289.1374,0.0014,-1.7202,0.001,19,0.44,7.7,2,23.484,12.8976,9.12
CWWDL_831,30,163.0121,0.0027,-61.5593,0.0005,0.3174,0.0003,-5.9992,0.1749,2.3355,0.0959,289.2131,0.0006,-1.9094,0.0005,14,0.2,7.91,0,,,
CWWDL_839,69,166.3484,0.0063,-61.569,0.0024,0.2165,0.0002,-6.0196,0.2238,1.9756,0.1259,290.659,0.0016,-1.2503,0.0022,17,0.42,7.88,2,2.09,29.3223,20.734
CWWDL_848,52,167.3178,0.0133,-61.8487,0.0005,0.2365,0.0002,-5.8,0.3745,1.8679,0.1019,291.1914,0.0026,-1.3284,0.0009,14,0.44,7.49,0,,,
CWWDL_849,32,165.5317,0.0078,-62.3371,0.0006,0.276,0.0002,-6.4727,0.2952,2.2397,0.1391,290.6172,0.002,-2.108,0.0002,20,0.4,7.7,1,25.295,,0
CWWDL_851,22,164.8687,0.0085,-62.3136,0.0002,0.2375,0.0002,-6.246,0.2082,2.1615,0.0889,290.3269,0.0018,-2.214,0.0003,12,-0.4,8.27,1,13.484,,0
CWWDL_864,49,174.0231,0.0107,-63.2409,0.0007,0.3868,0.0003,-6.1549,0.1555,0.8988,0.0812,294.5701,0.0018,-1.5989,0.0011,21,0.35,5.48,0,,,
CWWDL_873,132,177.9127,0.017,-63.3119,0.0015,0.2572,0.0005,-5.6857,0.1979,0.7135,0.0847,296.2783,0.0037,-1.2152,0.0013,60,-0.4,7.79,9,-15.1904,22.9815,16.1369
CWWDL_909,71,219.642,0.006,-62.1543,0.0007,0.2985,0.0007,-3.484,0.0192,-1.7892,0.0288,315.0884,0.0013,-1.838,0.0007,52,-0.4,8.09,6,-41.3415,13.1409,8.9078
CWWDL_913,42,222.5466,0.053,-61.7721,0.0262,0.2952,0.0004,-3.4392,0.0121,-1.9126,0.0132,316.4883,0.0007,-2.0666,0.0006,35,0.44,7.82,7,-30.2204,6.8885,5.62
CWWDL_919,81,227.6201,0.0091,-60.4964,0.0023,0.4864,0.0003,-3.5212,0.1758,-3.5738,0.1326,319.2504,0.0026,-2.1075,0.002,48,0.44,7.73,5,-25.5374,16.1134,11.0918
CWWDL_928,43,244.701,0.0009,-52.8831,0.0002,0.2882,0.0004,-2.6042,0.0378,-3.9189,0.0468,331.2737,0.0002,-1.8217,0.0003,22,0.44,7.91,3,-9.3877,24.7757,18.8371
CWWDL_929,43,244.6906,0.022,-52.8797,0.0196,0.2248,0.0002,-2.6519,0.0496,-3.9438,0.0206,331.2716,0.0002,-1.8149,0.0004,33,-0.04,8.36,15,-26.5662,11.9414,6.7724
CWWDL_932,45,250.6967,0.0024,-47.9926,0.0013,0.3309,0.0003,-0.6808,0.0576,-1.1238,0.0466,337.4496,0.0017,-1.2473,0.0007,31,0.4,7.88,2,-37.575,49.4395,34.959
CWWDL_933,61,250.6309,0.0032,-47.9055,0.0011,0.457,0.0007,-2.9499,0.2813,-4.3443,0.2322,337.4863,0.0016,-1.1568,0.001,38,0.27,7.85,4,-13.0633,13.9975,9.4164
CWWDL_939,100,255.2052,0.004,-44.1566,0.0028,0.3396,0.0006,-0.665,0.0748,-1.8027,0.0578,342.3983,0.0021,-1.2201,0.0028,56,0.27,7.85,14,-42.0369,13.4884,10.4413
CWWDL_944,131,257.8714,0.0149,-41.385,0.0093,0.4253,0.0008,-0.8354,0.1402,-2.7385,0.0882,345.7898,0.0154,-1.1108,0.0022,79,0.12,7.82,11,-3.2128,55.9897,38.3048
