"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1223",77.0127,0.083,0.5269,0.026,21,1.021,0.049,-1.621,0.428,-3.822,0.47,6.5,0.15,306.1363,38.558
"CWNU_1224",258.929,0.986,-15.176,0.38,28,2.956,0.05,-4.384,0.383,12.271,0.273,7.35,1.1,109.9642,-47.4949
"CWNU_1225",99.4821,0.359,-1.9634,0.273,31,2.561,0.088,5.236,1.129,-2.093,1.35,7.7,0.85,331.2986,53.1665
"CWNU_1226",334.6081,1.109,16.6013,1.531,34,8.446,0.152,-23.804,1.85,-29.041,1.468,7.25,0.05,231.6475,-36.5522
"CWNU_1227",216.2302,0.272,-10.9027,0.266,21,2.436,0.062,-3.929,0.755,1.259,2.092,8.5,1,94.5847,-7.8469
"CWNU_1228",107.4872,0.23,5.2377,0.134,126,1.093,0.055,-0.72,0.578,-2.98,0.567,6.6,3.95,336.2095,63.6233
"CWNU_1229",126.7512,0.167,-0.9165,0.271,97,1.073,0.045,-1.355,0.552,-1.481,0.404,7.2,2.45,20.9393,61.7153
"CWNU_1230",106.3927,0.052,3.1035,0.071,32,1.3,0.019,-0.214,0.346,-2.788,0.21,6.35,2.95,336.6531,61.235
"CWNU_1231",185.6794,0.154,-9.138,0.181,15,2.048,0.1,0.884,0.555,-5.058,0.469,7.7,1.75,81.2606,19.2657
"CWNU_1232",252.8619,0.399,-0.0022,0.297,15,2.94,0.078,-7.633,0.243,12.098,0.652,7.7,3.8,123.7475,-34.8379
"CWNU_1233",204.7644,0.061,-11.9447,0.051,16,2.971,0.075,4.848,0.42,0.18,0.421,6,0.75,88.519,1.6806
"CWNU_1234",87.218,0.065,-3.3401,0.057,36,1.387,0.022,-0.052,0.361,-3.222,0.296,7.1,1.3,318.7348,44.0132
"CWNU_1235",103.1519,0.189,2.5774,0.168,23,2.215,0.091,2.844,0.571,0.288,0.675,6.65,0.2,331.8392,58.9965
"CWNU_1236",348.4782,0.301,22.6147,1.014,16,8.135,0.1,-18.602,2.095,-27.046,1.56,7.4,0.05,238.8283,-23.5797
"CWNU_1237",260.7751,0.08,0.2291,0.054,22,1.052,0.031,-4.908,0.374,3.871,0.505,6.7,4.05,129.8331,-41.1421
"CWNU_1238",295.7247,0.047,-0.3389,0.026,30,0.939,0.031,-8.366,0.191,0.906,0.121,6.8,1.7,177.1857,-62.3301
"CWNU_1239",260.6818,0.116,0.6819,0.109,34,1.079,0.056,-5.404,0.863,3.465,1.05,6.5,0.3,130.2324,-40.7917
"CWNU_1240",111.2557,0.043,9.4683,0.034,19,1.077,0.043,-1.299,0.166,-2.191,0.293,6.5,1.35,338.6887,69.181
"CWNU_1241",111.4402,1.816,10.5427,0.91,31,2.608,0.092,5.74,1.629,0.329,1.12,7.85,1.1,337.5431,70.1956
"CWNU_1242",179.9452,0.395,-23.5072,0.131,16,3.452,0.045,3.133,0.295,-3.581,0.682,6.55,0.05,65.7164,15.2161
"CWNU_1243",78.1874,0.102,-0.3108,0.064,34,1.066,0.045,-1.044,0.18,-4.406,0.187,7.4,1.9,307.8886,39.0231
"CWNU_1244",100.0379,0.119,3.1777,0.14,44,1.047,0.018,-1.455,0.31,-3.258,0.224,6.85,2.2,326.474,57.5538
"CWNU_1245",30.5012,0.14,-0.5634,0.067,44,1.603,0.024,0.386,0.254,-6.322,0.247,6.35,4.9,282.2524,-2.4202
"CWNU_1246",133.0906,0.178,-4.6544,0.251,21,2.02,0.104,0.847,0.736,-0.758,1.73,8.45,0.05,31.5523,56.7353
"CWNU_1247",158.7075,0.183,-9.0981,0.194,15,2.04,0.057,-2.515,1.335,-1.493,1.481,7.7,2.25,61.6218,39.8569
"CWNU_1248",170.3807,0.222,0.6818,0.288,16,2.36,0.068,0.94,1.682,-1.001,1.738,8.9,0.05,80.8506,37.39
