"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0057",281.323815,0.022528,-2.591722,0.035805,29.925271,0.032331,0.183782,0.027261,0.04229014,0.743141,0.020011,2.638655,0.125976,1.098289,0.117755,8.5,0.2,3.36,0.016,-15.269788,"            ",18,1,281.32380326,-2.59172688
"OC-0058",282.77212,0.046062,-2.188845,0.025003,30.943887,0.024118,-0.920182,0.046501,0.0523834,0.548574,0.030183,0.432254,0.308258,-2.449092,0.318447,6.4,0.15,4.04,0.028,"            ","            ",15,0,282.77211808,-2.18883412
"OC-0059",279.475579,0.070335,-0.361209,0.082063,31.065744,0.0647,2.846286,0.086633,0.10812662,2.163745,0.137474,2.784414,0.507959,-8.350733,0.364601,6.5,0.15,2.84,0.017,"            ","            ",24,0,279.47556662,-0.36117189
"OC-0060",281.246915,0.036092,-1.149205,0.04976,31.173653,0.054079,0.910739,0.029231,0.06147349,0.562881,0.026623,-0.072195,0.132162,-1.580536,0.305054,9.2,0.21,2.16,0.019,"            ","            ",19,0,281.24691532,-1.14919798
"OC-0061",279.990801,0.054889,-0.356894,0.053255,31.305158,0.056634,2.389928,0.051448,0.07651344,0.587377,0.037752,0.648267,0.258854,-2.527242,0.297927,8.8,0.2,2.68,0.016,"            ","            ",26,0,279.99079812,-0.35688277
"OC-0062",279.335731,0.071988,0.441339,0.071082,31.716839,0.075704,3.33715,0.067253,0.10126234,2.064028,0.102305,2.559957,0.337463,-8.209857,0.489611,6.6,0.15,3.98,0.028,-6.055118,"            ",19,1,279.33571962,0.44137549
"OC-0063",281.143549,0.01368,-0.298156,0.014791,31.88389,0.010063,1.391092,0.017456,0.02014884,0.3193,0.009895,-0.293597,0.14528,-2.570501,0.144275,6,0.14,2.24,0.027,"            ","            ",16,0,281.1435503,-0.29814458
"OC-0064",282.463799,0.035463,-0.327948,0.040965,32.459624,0.041472,0.202605,0.034869,0.05418278,0.53995,0.054159,-0.396823,0.223758,-1.93849,0.274277,6,0.14,3.6,0.028,"            ","            ",63,0,282.46380076,-0.32793938
"OC-0065",282.381586,0.051222,3.319665,0.04718,35.669793,0.053569,1.937837,0.044435,0.06959962,0.579786,0.053954,1.663613,0.180816,-1.333999,0.228809,9.8,0.23,2.08,0.024,"            ","            ",29,0,282.38157859,3.31967093
"OC-0066",279.35023,0.098763,5.125035,0.088291,35.909102,0.064311,5.450789,0.115641,0.13232062,2.11858,0.052022,1.257811,0.309007,-5.023747,0.333937,9,0.21,4.04,0.028,-24.536294,1.764149,31,8,279.35022439,5.12505733
"OC-0067",277.135376,0.064094,6.757453,0.0693,36.381302,0.077463,8.152209,0.054533,0.09473312,2.52789,0.068274,1.278572,0.429258,-1.673002,0.390875,8.7,0.2,0.64,0.017,-24.873673,7.127288,25,8,277.13537028,6.75746044
"OC-0068",274.453252,0.073597,11.828477,0.08321,39.832846,0.093156,12.756832,0.062105,0.11196013,1.70574,0.055076,-0.890785,0.367489,-7.191582,0.170087,7.3,0.17,0.72,0.028,-18.375631,"            ",15,1,274.45325604,11.82850896
"OC-0069",294.782246,0.060099,2.320418,0.060821,40.515599,0.066032,-9.511908,0.055354,0.08616432,1.456593,0.091121,0.264455,0.573361,-2.331806,0.620906,7.9,0.18,0.34,0.026,22.729355,"            ",17,1,294.78224482,2.32042836
"OC-0070",290.415348,0.068801,9.092692,0.056631,44.471295,0.06024,-2.492945,0.064809,0.088482,1.134553,0.049987,0.726912,0.470213,-3.580079,0.297086,7.6,0.17,1.02,0.017,-22.951632,"            ",22,1,290.41534473,9.09270791
"OC-0071",288.853068,0.053126,11.262698,0.050942,45.671358,0.059525,-0.119356,0.042032,0.07286916,0.304136,0.017023,-1.092052,0.208873,-3.69062,0.167475,9.2,0.21,1.76,0.016,"            ","            ",49,0,288.85307295,11.2627144
"OC-0072",287.903045,0.046614,12.038904,0.034205,45.9274,0.040684,1.064982,0.039922,0.0569996,0.217699,0.003231,-1.183436,0.113,-4.221674,0.115157,8.3,0.19,2,0.02,"            ","            ",28,0,287.90305038,12.03892276
"OC-0073",288.160017,0.049053,12.050117,0.040684,46.053658,0.023097,0.847378,0.058508,0.06290197,0.317707,0.011542,-1.607821,0.280068,-4.384511,0.283413,8.7,0.2,3.44,0.017,"            ","            ",18,0,288.16002431,12.05013649
"OC-0074",286.728168,0.036916,13.259567,0.038713,46.483752,0.042128,2.644513,0.031918,0.05285383,0.277296,0.00362,-1.761568,0.101462,-4.977658,0.084761,8.3,0.19,4.02,0.028,"            ","            ",20,0,286.72817604,13.25958912
"OC-0075",290.231313,0.038745,15.593109,0.036774,50.125969,0.041074,0.72083,0.032529,0.05239475,0.319731,0.008044,-1.336782,0.301346,-3.908844,0.33546,8.8,0.2,4.04,0.026,"            ","            ",15,0,290.23131917,15.59312637
