"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
47,"UBC1048",282.99,0.08,-0.98,0.08,32.12,0.08,-0.56,0.08,0.25,0.02,-0.6,0.08,-2.11,0.09,"      ","     ",58,0," ",8.213,4054,2.556,282.99,-0.98
48,"UBC1049",283.88,0.1,-1.24,0.1,32.3,0.1,-1.47,0.09,0.32,0.04,-1.72,0.09,-4.54,0.09,46.76,1.67,231,3," ",7.93,3646,2.656,283.88,-1.24
49,"UBC1050",283.33,0.07,-0.71,0.07,32.51,0.08,-0.74,0.07,0.3,0.02,-0.22,0.04,-1.49,0.06,20.29,"     ",27,1," ",8.727,3479,2.35,283.33,-0.71
50,"UBC1051",286.49,0.1,3.31,0.11,37.54,0.11,-1.71,0.11,0.33,0.02,-1.17,0.1,-3.63,0.15,107.54,67.03,80,2," ",6.871,3317,2.234,286.49,3.31
51,"UBC1052",280.08,0.1,7.67,0.06,38.53,0.08,5.95,0.09,0.29,0.02,1.27,0.09,-3.49,0.12,"      ","     ",31,0," ",9.2,3840,1.299,280.08,7.67
52,"UBC1053",288.76,0.06,5.97,0.07,40.94,0.08,-2.49,0.05,0.27,0.03,-1.02,0.09,-3.61,0.09,7.77,36.15,62,2," ",7.805,4264,2.383,288.76,5.97
53,"UBC1054",283.32,0.07,10.88,0.05,42.84,0.06,4.53,0.06,0.33,0.02,-1.19,0.06,-3.33,0.09,"      ","     ",27,0," ",8.399,3020,1.521,283.32,10.88
54,"UBC1055",285.38,0.08,11.76,0.09,44.55,0.08,3.13,0.09,0.27,0.03,-1.64,0.06,-5.55,0.08,"      ","     ",49,0,"a",8.92,3602,1.93,285.38,11.76
55,"UBC1056",286.14,0.05,13.42,0.05,46.37,0.05,3.23,0.06,0.52,0.02,-0.27,0.06,-4.55,0.06,-5.47,0.43,22,2," ",8.543,2122,2.195,286.14,13.42
56,"UBC1057",286.72,0.07,13.25,0.07,46.47,0.07,2.65,0.06,0.29,0.04,-1.77,0.09,-4.98,0.09,-17.64,"     ",179,1,"a",8.831,3209,3.092,286.72,13.25
57,"UBC1058",285.19,0.07,15.81,0.08,48.08,0.08,5.13,0.06,0.46,0.03,-0.96,0.06,-4.16,0.05,14.12,0.84,45,3," ",9.085,2221,1.48,285.19,15.81
58,"UBC1059",291.31,0.02,13.94,0.03,49.16,0.03,-0.98,0.02,0.29,0.02,-1.82,0.07,-4.25,0.07,"      ","     ",28,0,"a",7.37,3812,4.652,291.31,13.94
59,"UBC1060",292.97,0.06,16.56,0.07,52.23,0.08,-1.13,0.04,0.47,0.02,-1.1,0.07,-3.6,0.07,"      ","     ",47,0," ",7.676,2474,3.204,292.97,16.56
60,"UBC1061",295.68,0.08,15.71,0.07,52.76,0.08,-3.82,0.06,0.27,0.03,-2.48,0.08,-5.88,0.09,9.1,2.18,79,2," ",9.114,3712,0.738,295.68,15.71
61,"UBC1062",293.33,0.06,18.24,0.06,53.86,0.06,-0.62,0.05,0.3,0.02,-2.93,0.06,-6.04,0.08,"      ","     ",32,0," ",8.23,3399,3.388,293.33,18.24
62,"UBC1063",292.41,0.07,19.43,0.06,54.49,0.06,0.71,0.07,0.2,0.03,-1.73,0.07,-4.5,0.12,"      ","     ",71,0," ",8.384,5139,3.294,292.41,19.43
63,"UBC1064",297.66,0.1,19.72,0.09,57.18,0.1,-3.45,0.08,0.27,0.03,-2.72,0.05,-5.77,0.07,26.43,0.86,99,2," ",8.145,3792,1.483,297.66,19.72
64,"UBC1065",298.56,0.05,19.92,0.05,57.79,0.06,-4.07,0.05,0.35,0.01,-2.55,0.06,-5.68,0.04,"      ","     ",12,0," ",8.076,3155,1.223,298.56,19.92
65,"UBC1066",295.85,0.06,22.15,0.04,58.43,0.05,-0.76,0.04,0.37,0.02,-3.17,0.1,-6.48,0.08,"      ","     ",37,0," ",7.292,2766,3.103,295.85,22.15
66,"UBC1067",294.66,0.07,23.95,0.06,59.46,0.06,1.07,0.07,0.18,0.03,-2.16,0.06,-5.35,0.06,"      ","     ",54,0," ",8.152,5107,2.542,294.66,23.95
67,"UBC1068",297.83,0.07,22.7,0.06,59.83,0.06,-2.07,0.07,0.29,0.02,-2.37,0.06,-5.66,0.09,"      ","     ",30,0," ",7.797,3484,2.182,297.83,22.7
68,"UBC1069",294.96,0.03,24.78,0.04,60.31,0.04,1.24,0.02,0.32,0.02,-1.91,0.05,-6.52,0.08,"      ","     ",28,0," ",7.386,3641,2.53,294.96,24.78
