CWNU_id,l,b,sig_l,sig_b,n,plx,sig_plx,pmx,sig_pmx,pmy,sig_pmy,rv,sig_rv,nrv,logage,A0,m-M,class,RA_ICRS,DE_ICRS
CWNU_2372,136.725,0.699,0.209,0.381,64,0.425,0.051,0.141,0.092,-0.526,0.166,-48.93,,1,7.25,3.25,11.65,1,41.75464,60.43797
CWNU_2373,333.444,-1.515,0.2,0.091,52,0.41,0.039,-1.545,0.073,-2.43,0.086,-6.18,,1,8.15,3.65,11.65,1,246.82835,-51.12636
CWNU_2374,334.103,0.415,0.048,0.037,60,0.335,0.071,-3.07,0.149,-3.639,0.077,-25.83,22.03,2,8.15,4.8,12.0,1,245.399,-49.30348
CWNU_2375,99.964,-2.765,0.329,0.065,52,0.376,0.045,-2.808,0.051,-3.588,0.082,-57.74,,1,8.8,0.95,12.2,1,332.72423,52.7955
CWNU_2376,249.959,1.568,0.005,0.009,11,0.229,0.032,-3.105,0.041,4.812,0.022,,,0,7.2,1.7,12.95,1,123.3885,-31.5516
CWNU_2377,353.936,-1.414,0.065,0.036,52,0.413,0.061,1.25,0.09,-0.725,0.083,-23.27,0.93,4,8.75,4.15,11.65,1,264.03379,-34.82836
CWNU_2378,154.538,-0.153,0.313,0.086,52,0.334,0.034,-0.661,0.123,-0.833,0.12,,,0,6.7,4.2,12.95,1,66.15312,49.17913
CWNU_2379,4.081,-0.395,0.026,0.019,12,0.316,0.01,-0.466,0.05,-1.496,0.063,,,0,6.7,5.2,12.8,1,269.13632,-25.63149
CWNU_2380,312.073,-1.576,0.071,0.047,51,0.366,0.06,-5.06,0.064,-2.363,0.071,-5.63,,1,8.6,2.6,11.9,1,213.32416,-62.98579
CWNU_2381,87.893,-1.7,0.067,0.056,51,0.352,0.048,-2.62,0.068,-3.518,0.072,,,0,7.5,1.4,12.1,1,317.70816,45.63014
