GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
6.27,1.79,0.7,0.7,"VVV 152,VVV-CL 152                                                                                              ",OC   ,     ,377,268.28102,-22.63889
6.3,-1.79,1.4,1.4,Ryu 170                                                                                                         ,OC   ,     ,378,271.68498,-24.39293
6.46,-4.59,1.3,1.3,Ryu 606                                                                                                         ,OC   ,     ,382,274.48304,-25.59062
6.53,3.92,1.0,1.0,Ryu 607                                                                                                         ,OC   ,     ,384,266.45197,-21.32441
6.56,1.93,13.0,9.0,"NGC 6469,Melotte 182,Collinder 353,OCL 21,ESO 589-18,MWSC 2735                                                  ",OC   ,     ,386,268.30953,-22.31808
6.58,0.78,4.0,4.0,"FSR 23,MWSC 2758                                                                                                ",OC   ,     ,388,269.3964,-22.88028
6.96,-1.5,1.3,1.3,Ryu 171                                                                                                         ,OC   ,     ,396,271.75914,-23.67547
6.98,-16.6,20.0,20.0,MWSC 4475                                                                                                       ,OC   ,     ,397,287.04304,-30.23254
7.0,-3.45,1.8,1.8,Ryu 609                                                                                                         ,OC   ,     ,398,273.65381,-24.57783
7.12,1.94,1.7,1.7,Ryu 172                                                                                                         ,OC   ,     ,404,268.60584,-21.83029
7.17,2.03,1.6,1.6,Ryu 173                                                                                                         ,OC   ,     ,405,268.54939,-21.7417
7.2,4.61,1.0,1.0,Ryu 174                                                                                                         ,OC   ,     ,406,266.19042,-20.39555
7.24,-0.24,3.0,3.0,"Teutsch 72,DSH J1802.8-2249                                                                                     ",OC   ,     ,407,270.71279,-22.81425
7.32,-1.38,12.0,10.0,"NGC 6546,Collinder 365,OCL 24,ESO 521-29,MWSC 2812                                                              ",OC   ,     ,408,271.83569,-23.30266
7.35,-2.77,1.5,1.5,Ryu 610                                                                                                         ,OC   ,     ,409,273.18063,-23.9466
7.43,4.83,1.3,1.3,Ryu 611                                                                                                         ,OC   ,     ,412,266.11643,-20.08552
7.44,1.17,1.1,1.1,Ryu 612                                                                                                         ,OC   ,     ,413,269.4965,-21.94064
7.53,-1.3,1.1,1.1,Ryu 176                                                                                                         ,OC   ,     ,415,271.87068,-23.0803
7.53,5.65,5.0,5.0,"FSR 25,MWSC 2664                                                                                                ",OC   ,     ,416,265.4268,-19.57419
7.55,1.8,2.5,2.5,Ryu 177                                                                                                         ,OC   ,     ,417,268.96904,-21.52963
7.62,5.85,1.6,1.6,Ryu 613                                                                                                         ,OC   ,     ,421,265.29538,-19.39345
7.63,-2.49,1.0,1.0,Ryu 614                                                                                                         ,OC   ,     ,422,273.05823,-23.56702
