ID,lon,lat,pmRA*,e_pmRA*,pmDE,e_pmDE,dist_pc,e_dist,rGMM,rc,e_rc,N,e_N,log(age),RA_ICRS,DE_ICRS,plx
UPK_542,272.86,-5.81,-4.87,0.07,2.56,0.12,835,30,50.7,21.67,0.05,19,35.93,8.8,134.10794,-54.33068,1.1976047904191616
UPK_545,275.19,-9.96,-8.74,0.33,2.77,0.32,331,28,99.33,23.37,0.16,142,142.0,7.95,130.83802,-58.7247,3.0211480362537766
UPK_549,276.79,0.7,-1.69,0.13,-0.43,0.11,1010,25,24.95,6.96,0.04,104,222.72,9.05,146.50303,-52.49656,0.9900990099009901
UPK_552,280.22,9.47,-22.45,0.38,6.31,0.32,345,61,85.98,17.85,0.05,43,43.0,7.95,158.70415,-47.28732,2.898550724637681
UPK_562,288.58,2.88,-11.67,0.15,4.85,0.16,816,29,44.23,12.06,0.09,45,73.57,7.9,165.86142,-56.95193,1.2254901960784315
UPK_567,291.21,-7.6,-6.37,0.11,0.11,0.14,638,24,63.52,12.18,0.08,54,74.96,8.7,161.06402,-67.52992,1.567398119122257
UPK_569,294.78,-10.32,-25.75,0.63,-1.05,0.81,252,26,88.53,42.96,0.32,63,63.0,7.55,166.74938,-71.51931,3.9682539682539684
UPK_578,302.97,5.49,-12.93,0.08,-4.67,0.08,942,24,16.03,3.99,0.02,23,92.38,8.85,192.9298,-57.38173,1.0615711252653928
UPK_579,303.01,12.41,-10.73,0.21,-3.2,0.18,717,39,101.05,36.49,0.17,76,105.54,7.9,192.97927,-50.46168,1.394700139470014
UPK_585,307.83,-13.76,-6.8,0.15,-5.55,0.16,710,44,38.48,3.84,0.26,27,44.36,7.9,212.72023,-75.8707,1.408450704225352
UPK_587,308.37,12.7,-8.82,0.21,-2.6,0.21,891,41,73.13,21.89,0.17,78,147.19,7.95,201.09852,-49.82345,1.122334455667789
UPK_594,312.49,-7.05,-1.98,0.2,-3.16,0.2,939,43,69.82,22.84,0.08,78,147.33,7.9,218.91656,-67.96625,1.0649627263045793
UPK_595,312.66,-6.12,-5.93,0.14,-3.92,0.18,875,74,67.38,12.59,0.2,56,105.89,8.8,218.37568,-67.04396,1.1428571428571428
UPK_596,313.12,-11.39,-4.4,0.15,-3.7,0.19,711,49,76.17,19.08,0.12,36,58.9,8.0,226.13718,-71.57792,1.4064697609001406
UPK_599,314.03,23.16,-9.95,0.27,0.3,0.22,670,38,74.25,18.3,0.1,56,91.44,7.3,205.94424,-38.58121,1.492537313432836
UPK_602,316.71,-6.5,-1.32,0.21,-3.94,0.26,886,54,93.77,65.51,0.8,131,245.44,7.9,227.75439,-65.56644,1.1286681715575622
UPK_604,318.25,-0.64,-4.52,0.11,-3.62,0.11,761,31,32.32,7.14,0.1,31,75.21,7.15,224.43398,-59.70166,1.314060446780552
UPK_605,318.84,-8.37,-3.63,0.08,-4.28,0.08,736,17,22.23,3.73,0.09,34,55.7,7.85,234.56525,-65.94614,1.358695652173913
UPK_606,319.09,13.62,-20.26,0.4,-16.8,0.41,170,15,81.53,17.63,0.11,40,40.0,7.1,215.92237,-46.33731,5.882352941176471
UPK_607,319.74,1.46,-4.26,0.23,-3.24,0.23,900,65,20.58,4.3,0.06,47,114.21,7.1,225.0596,-57.14773,1.1111111111111112
UPK_612,322.59,-15.03,-13.27,0.92,-12.06,0.91,241,32,181.72,79.39,0.23,181,181.0,8.0,253.34568,-68.07799,4.149377593360996
UPK_613,324.23,8.11,-4.54,0.09,-3.63,0.1,871,32,19.0,8.2,0.07,18,43.94,7.85,226.2207,-49.16402,1.148105625717566
UPK_614,324.35,2.36,-1.84,0.1,-4.48,0.07,889,29,24.72,4.01,0.14,27,51.15,7.95,231.23272,-54.0029,1.124859392575928
UPK_617,325.25,0.04,-2.71,0.13,-5.3,0.1,723,17,21.41,5.47,0.02,44,72.08,7.9,234.81262,-55.38629,1.3831258644536653
UPK_621,326.93,-0.03,-2.57,0.29,-3.08,0.24,866,44,37.68,6.88,0.28,87,164.05,8.8,237.20522,-54.41915,1.1547344110854503
UPK_624,329.08,-10.65,-1.44,0.25,-14.33,0.28,325,38,52.1,17.34,0.13,32,32.0,7.65,254.09104,-60.39054,3.076923076923077
UPK_626,330.69,2.09,-7.3,0.22,-5.67,0.19,510,34,40.76,9.51,0.04,38,52.79,8.2,239.74914,-50.39132,1.9607843137254901
UPK_627,331.53,-2.29,-2.44,0.16,-10.06,0.15,530,25,44.69,13.57,0.11,34,40.24,8.0,245.55038,-53.03515,1.8867924528301887
UPK_629,332.99,-8.44,0.8,0.1,-3.8,0.11,922,34,40.86,19.18,0.18,33,70.92,7.9,255.1919,-55.98436,1.0845986984815619
UPK_630,334.33,-2.71,-1.75,0.09,-2.3,0.08,931,27,12.32,4.04,0.01,32,89.29,7.85,249.18722,-51.29495,1.0741138560687433
UPK_639,343.41,-6.29,1.15,0.28,-9.3,0.29,707,59,118.23,62.9,0.82,135,187.4,8.9,261.89337,-46.29078,1.4144271570014144
UPK_640,343.55,4.64,-11.89,0.49,-21.15,0.47,177,7,116.15,41.19,0.1,340,340.0,7.5,250.13391,-39.52827,5.649717514124294
UPK_642,345.57,-5.9,2.31,0.11,-4.29,0.12,950,46,42.53,21.02,0.69,34,64.11,8.0,263.08904,-44.27642,1.0526315789473684
UPK_644,349.15,10.62,-3.94,0.16,-3.46,0.13,742,29,37.99,6.87,0.11,42,68.61,7.95,249.11114,-31.41367,1.3477088948787062
UPK_645,349.54,-9.55,2.76,0.13,-2.85,0.12,683,27,26.87,8.13,0.03,39,63.89,7.95,270.17749,-42.73329,1.4641288433382138
UPK_654,359.58,-10.83,1.13,0.2,-8.65,0.17,503,29,33.74,11.02,0.05,49,58.08,8.0,277.35933,-34.48984,1.9880715705765408
UPK_655,359.89,-17.71,4.48,0.77,-27.2,0.82,153,5,26.24,9.83,0.06,35,35.0,7.1,285.28966,-36.94016,6.5359477124183005
