"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC159",339.06502127303,0.18917416019,39.6529752285,0.22802783699,96.4523134874,0.1766031415,-16.1685141405,0.2108455072,1.9817,0.0588,-1.95,0.266,-4.722,0.291," ",339.06503217605,39.65299555795
"UBC160",327.73614959589,0.14257074483,51.38308755912,0.0606117096,96.6657266577,0.0869682949,-2.0423642886,0.0635207324,0.4998,0.0279,-2.483,0.093,-3.254,0.127," ",327.73616672287,51.38310156867
"UBC161",319.08197364515,0.22159598772,57.44714448703,0.08800689835,97.0621396677,0.0994015463,5.8178386856,0.1104418548,0.7024,0.0275,-3.123,0.143,-4.427,0.124,"a",319.08199863328,57.44716354864
"UBC162",327.74389919041,0.1668724647,52.99185369879,0.07913661149,97.6846362406,0.096598069,-0.7970758664,0.0837817822,0.4268,0.0264,-4.088,0.1,-4.514,0.085," ",327.74392843017,52.99187313522
"UBC163",330.89388210797,0.14125116857,55.66030094159,0.09837611998,100.7712862661,0.0814429781,0.1844648793,0.0969256356,0.6059,0.0201,-1.974,0.104,-3.222,0.089," ",330.8938971721,55.66031481495
"UBC164",333.97104368048,0.19872352374,53.99500733555,0.11010169692,101.2575697461,0.1281188363,-2.1979826265,0.0968424058,0.2626,0.0374,-3.338,0.093,-3.28,0.086," ",333.97106812495,53.99502145721
"UBC165",343.72952973729,0.38199477923,43.3109995488,0.22164227499,101.4558452909,0.3129517527,-14.648083468,0.1864439548,1.6472,0.0426,-0.508,0.215,-3.935,0.172," ",343.72953274495,43.31101649054
"UBC166",334.263975097,0.12113749478,54.23286554609,0.07779195428,101.5328799619,0.0824096605,-2.0963130918,0.0654421237,0.3105,0.0175,-3.63,0.114,-2.982,0.106," ",334.26400183941,54.23287838449
"UBC167",324.78096261966,0.20089715412,62.37269202115,0.13200049599,102.5726194171,0.1073903233,7.3692091011,0.1215209874,1.0622,0.0385,-2.073,0.141,-3.013,0.111," ",324.78098186331,62.37270499437
"UBC168",332.47172931342,0.25527323864,57.54551346254,0.10746847217,102.5798043569,0.1416615941,1.2032800746,0.1011652861,1.0693,0.0186,1.797,0.105,1.628,0.081," ",332.47171489864,57.5455064544
"UBC169",342.65232898077,0.16070579709,49.48575297004,0.06881967749,103.6179142451,0.1150460395,-8.8007708632,0.0519877541,0.7002,0.0309,-4.033,0.129,-3.377,0.126," ",342.65235571052,49.48576750878
"UBC170",337.79191523337,0.20224146652,58.07278476194,0.11303602294,105.2434318535,0.1169606389,0.1019896514,0.1026825929,0.7025,0.0263,-4.594,0.099,-2.656,0.091,"a",337.79195263925,58.07279619729
"UBC171",346.47609744048,0.22181503157,49.37612993693,0.1120559929,105.8488548539,0.1471611266,-9.9629021343,0.1113562809,1.7822,0.0223,2.641,0.129,-1.9,0.124,"a",346.47607997717,49.37613811908
"UBC172",343.39202837543,0.17026746244,54.32756101544,0.10114878657,106.2041496557,0.1102319414,-4.670753804,0.0895289795,0.3727,0.0233,-1.644,0.091,-1.409,0.073," ",343.39204051353,54.32756708166
"UBC173",341.69531107865,0.20551363387,56.45322313578,0.21002568671,106.3006885451,0.1257899737,-2.3390379782,0.2029937559,0.2688,0.0275,-3.437,0.158,-2.735,0.098," ",341.69533785755,56.45323491087
"UBC174",341.40584776841,0.24711592031,57.36608856305,0.12223959153,106.5831162887,0.1295332203,-1.4565507063,0.12619904,0.2796,0.0363,-3.367,0.145,-2.778,0.122," ",341.40587465347,57.36610052306
"UBC175",344.44761521488,0.21433854494,54.38719347587,0.10388285485,106.7867230583,0.1246259181,-4.8827553902,0.1046446789,0.7215,0.0311,1.435,0.107,-0.726,0.104," ",344.44760460385,54.38719659986
"UBC176",345.51970343746,0.16913694951,57.06648368064,0.10668291322,108.4565486793,0.0937138178,-2.6995477663,0.1051949493,0.2583,0.0406,-3.604,0.121,-2.19,0.085," ",345.51973197745,57.06649310795
"UBC177",339.61076934734,0.33946741493,67.03573587831,0.12798131776,110.4738707863,0.1289641907,7.4383217136,0.13258714,0.8544,0.0303,-1.938,0.178,-0.974,0.131," ",339.61079073464,67.03574007243
"UBC178",346.22797744373,0.3437006498,63.3566374527,0.11040795933,111.3208914391,0.1368218114,2.9124345671,0.1313766932,1.1478,0.0261,-1.228,0.186,-1.803,0.126," ",346.22798923614,63.35664521615
"UBC179",350.97590767824,0.24500835449,59.51790423201,0.10716907331,112.0297229198,0.1244015705,-1.4879845253,0.1070273159,0.8097,0.0255,-2.865,0.079,-3.011,0.086," ",350.97593199886,59.51791719482
"UBC180",357.35232105169,0.22337844401,59.01077798184,0.08459422717,115.0094526683,0.113466268,-2.9033482278,0.0868232409,0.4578,0.0341,-3.186,0.104,-0.977,0.096," ",357.35234769546,59.01078219026
"UBC181",12.13165574614,64.55781820037,63.56432288729,0.09195908415,117.4708469395,0.1060029259,1.2173783312,0.0930945017,0.8576,0.0237,-2.594,0.091,-1.342,0.098," ",12.13168082989,63.56432866713
"UBC182",4.14994282228,0.17543135105,52.31264810966,0.11184685485,117.5346595181,0.1150289793,-10.1934859098,0.1058003418,0.6333,0.0293,-2.936,0.126,-1.76,0.069," ",4.14996350127,52.31265568817
"UBC183",5.00083361036,0.19826562094,55.69946464307,0.0858241889,118.4804614413,0.1143275343,-6.9001882496,0.08350411,0.9318,0.0265,0.669,0.082,-2.501,0.061," ",5.0008285016,55.69947540925
"UBC184",5.75235365535,0.1345889967,59.44107155716,0.06597939269,119.3196113452,0.068911478,-3.23107077,0.0655607962,0.5637,0.0359,-3.336,0.101,-1.881,0.079," ",5.75238190721,59.44107965633
"UBC185",7.78426706732,0.13375346137,63.39654147121,0.04361209895,120.6614056693,0.0605465371,0.6143848459,0.0427173912,0.2221,0.031,-2.436,0.139,-0.405,0.077," ",7.78429048578,63.39654321522
"UBC186",23.87340110369,0.63194061378,60.69666627708,0.22533223374,128.2990279081,0.3016804519,-1.7136898589,0.2355803637,0.3418,0.0428,-1.312,0.137,-0.461,0.105," ",23.87341264331,60.69666825994
"UBC187",37.8327362106,0.50647158892,72.36581136026,0.15980200003,130.416999442,0.1463589211,10.9621530667,0.1687844653,1.0706,0.0309,-1.646,0.155,-1.741,0.177," ",37.83275960336,72.36581885689
"UBC188",27.4463012051,0.1925755538,53.92376981085,0.14642574267,131.5443647167,0.1233525481,-7.9692648513,0.1392308056,0.3329,0.0313,-0.86,0.242,-1.566,0.17," ",27.4463074961,53.92377655455
"UBC189",35.90615529375,0.40303283823,63.79517459323,0.13523681328,132.8977791619,0.1690363104,2.7220841517,0.1463901162,0.9551,0.0263,3.182,0.099,-3.981,0.105," ",35.90612426595,63.79519173475
"UBC190",37.47522228672,0.22374639007,59.78758252024,0.11270476599,135.031900325,0.1141163418,-0.7505984498,0.1113184944,0.3133,0.0278,-0.083,0.121,-0.484,0.115," ",37.47522299715,59.78758460397
"UBC191",37.49097176019,0.21397406592,57.9762710189,0.14935843718,135.7116397599,0.1135581447,-2.4296702685,0.1493798403,0.3871,0.0282,-0.385,0.133,-0.954,0.101," ",37.49097489021,57.97627512459
"UBC192",37.11707283706,0.24415487117,57.14205915677,0.14772548984,135.832588474,0.0848684347,-3.2791366947,0.1794166516,0.3946,0.0261,-0.443,0.138,-1.172,0.108," ",37.11707634884,57.14206420263
"UBC193",30.28560683413,0.19348596762,43.77535292423,0.13224229893,136.0233887901,0.1499142756,-17.3171724725,0.1284840203,1.1946,0.0607,-2.817,0.157,-3.209,0.151," ",30.28562363333,43.77536673911
"UBC194",37.68946264562,0.20453363538,48.30467470388,0.09645502071,139.4843359226,0.135995409,-11.3489984723,0.1001920918,0.712,0.0591,0.493,0.156,-2.885,0.149," ",37.68945945266,48.3046871257
"UBC195",67.70023734134,0.20567180641,46.29827418349,0.11561075324,157.3354964423,0.1226317079,-1.4001624238,0.1361648249,0.8641,0.0442,0.302,0.151,-4.248,0.132,"a",67.70023545854,46.29829247362
