name,method,perc_diff,perc_missed_-16,perc_missed_+16,delta_coords_std,delta_pms_std,delta_plx_std
UPK_230.csv,M8,-157.1,11.1,20.0,-0.75,-0.26,0.01
UPK_230.csv,M9,-107.1,11.1,10.0,-0.75,-0.06,-0.05
UPK_230.csv,M10,-92.9,11.1,10.0,-0.74,-0.05,-0.01
UPK_230.csv,M11,-175.0,11.1,10.0,-0.80,-0.12,-0.09
UPK_230.csv,M12,-128.6,11.1,20.0,-0.76,-0.07,-0.07
UPK_230.csv,M13,-135.7,11.1,0.0,-0.69,-0.06,-0.07
UPK_230.csv,M14,-128.6,11.1,0.0,-0.70,-0.05,-0.06
UPK_230.csv,M15,-207.1,11.1,0.0,-0.72,-0.10,-0.09
UPK_230.csv,M16,-200.0,11.1,0.0,-0.73,-0.09,-0.09
UPK_230.csv,M17,-67.9,16.7,50.0,-0.46,-0.49,0.01
UPK_230.csv,M18,-50.0,16.7,60.0,-0.43,-0.39,0.02
UPK_230.csv,M19,-107.1,11.1,20.0,-0.74,-0.29,0.02
UPK_230.csv,M20,-175.0,11.1,50.0,-0.73,-0.62,0.01
UPK_230.csv,M21,-114.3,11.1,20.0,-0.79,-0.29,0.02
UPK_230.csv,M22,-71.4,11.1,40.0,-0.72,-0.14,0.02
UPK_230.csv,M23,-182.1,11.1,20.0,-0.76,-0.38,0.01
UPK_230.csv,M24,-157.1,11.1,20.0,-0.75,-0.26,0.01
Stock_2.csv,M1,-2.4,7.5,27.2,-0.10,-0.17,0.01
Stock_2.csv,M2,0.3,7.2,31.6,-0.09,-0.14,0.01
Stock_2.csv,M3,-32.9,5.4,24.7,-1.08,-0.67,-0.01
Stock_2.csv,M4,-25.0,5.4,29.3,-0.98,-0.54,-0.00
Stock_2.csv,M5,-11.7,6.8,8.5,-0.14,-0.10,0.01
Stock_2.csv,M6,-9.6,7.4,9.8,-0.11,-0.09,0.01
Stock_2.csv,M7,-32.8,5.3,6.9,-0.82,-0.29,0.00
Stock_2.csv,M8,-26.8,6.0,7.5,-0.71,-0.23,0.00
Stock_2.csv,M9,-9.0,6.7,22.4,-0.01,-0.06,-0.10
Stock_2.csv,M10,-6.5,7.0,24.2,0.01,-0.03,-0.08
Stock_2.csv,M11,-56.2,3.9,18.5,-1.26,-0.29,-0.26
Stock_2.csv,M12,-42.7,4.6,22.1,-1.11,-0.19,-0.21
Stock_2.csv,M13,-12.5,8.0,9.0,0.02,0.04,-0.08
Stock_2.csv,M14,-7.6,11.2,11.6,0.08,0.07,-0.07
Stock_2.csv,M15,-40.7,7.4,7.5,-0.99,-0.02,-0.16
Stock_2.csv,M16,-32.4,9.5,9.5,-0.88,0.03,-0.15
Stock_2.csv,M17,-4.6,6.7,26.7,-0.17,-0.19,0.01
Stock_2.csv,M18,-1.3,6.7,31.9,-0.14,-0.17,0.01
Stock_2.csv,M19,-15.4,5.8,7.2,-0.22,-0.14,0.00
Stock_2.csv,M20,-24.9,5.6,29.3,-0.97,-0.54,-0.00
Stock_2.csv,M21,-15.4,5.8,7.2,-0.22,-0.14,0.00
Stock_2.csv,M22,-12.6,6.3,8.7,-0.19,-0.12,0.01
Stock_2.csv,M23,-33.4,5.2,5.9,-0.81,-0.29,-0.00
Stock_2.csv,M24,-26.8,6.0,7.2,-0.72,-0.23,0.00
COIN-Gaia_13.csv,M1,-4.6,13.7,82.9,-0.31,-0.16,0.06
COIN-Gaia_13.csv,M2,3.8,14.7,88.6,-0.33,-0.03,0.06
COIN-Gaia_13.csv,M3,-60.8,8.4,71.4,-0.43,-0.41,0.05
COIN-Gaia_13.csv,M4,-30.0,10.5,85.7,-0.47,-0.20,0.06
COIN-Gaia_13.csv,M5,-43.8,9.5,37.1,-0.27,-0.11,0.05
COIN-Gaia_13.csv,M6,-36.9,11.6,37.1,-0.29,-0.08,0.05
COIN-Gaia_13.csv,M7,-80.0,6.3,31.4,-0.43,-0.18,0.05
COIN-Gaia_13.csv,M8,-52.3,8.4,34.3,-0.43,-0.09,0.06
COIN-Gaia_13.csv,M9,-52.3,6.3,20.0,-0.23,-0.05,-0.01
COIN-Gaia_13.csv,M10,-49.2,5.3,22.9,-0.26,-0.04,0.01
COIN-Gaia_13.csv,M11,-92.3,3.2,20.0,-0.39,-0.09,-0.03
COIN-Gaia_13.csv,M12,-76.2,3.2,25.7,-0.40,-0.07,-0.02
COIN-Gaia_13.csv,M13,-76.2,5.3,2.9,-0.27,-0.04,-0.01
COIN-Gaia_13.csv,M14,-68.5,5.3,8.6,-0.28,-0.03,-0.00
COIN-Gaia_13.csv,M15,-109.2,3.2,2.9,-0.40,-0.06,-0.02
COIN-Gaia_13.csv,M16,-92.3,3.2,8.6,-0.39,-0.04,-0.01
COIN-Gaia_13.csv,M17,-16.2,12.6,74.3,-0.29,-0.25,0.05
COIN-Gaia_13.csv,M18,-3.1,13.7,88.6,-0.33,-0.10,0.06
COIN-Gaia_13.csv,M19,-51.5,9.5,34.3,-0.35,-0.10,0.05
COIN-Gaia_13.csv,M20,-33.1,10.5,82.9,-0.48,-0.23,0.05
COIN-Gaia_13.csv,M21,-56.9,8.4,37.1,-0.31,-0.16,0.05
COIN-Gaia_13.csv,M22,-36.9,10.5,34.3,-0.30,-0.08,0.05
