"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls","dups_fnames_m","dups_probs_m"
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","949;14;502;416;94;164;1685","ASCC 96;Ferrero 1;Slotegraaf 61;MWSC 2893",275.063,-32.338,0.6741,-8.1581,1.145,0.149,-4.809,"ascc96;ferrero1;slotegraaf61;mwsc2893","UCC G000.6-08.1","Q1N","nan","nan",10.0,False,250,False,0,1.0,0.9,"AA",124,0.64,-8.141,275.039,-32.363,1.145,0.16,-4.839,-6.633,37,1,"nan","nan"
"HUNT23","1791","HSC 6",267.70722,-28.82465,0.6843,-0.9189,0.252,-0.292,-1.516,"hsc6","UCC G000.6-00.9","Q1N","nan","nan",4.3,False,120,False,0,0.09,0.97,"DA",63,0.705,-0.915,267.714,-28.805,0.283,-0.273,-1.483,-7.872,4,5,"nan","nan"
"FERREIRA21;HUNT23","29;6071","UFMG 92",269.029,-29.5026,0.685,-2.2575,0.39,-0.095,-0.471,"ufmg92","UCC G000.6-02.2b","Q1N","ubc1567;cwwdl4491","0.74;0.66",2.8,False,97,False,0,1.0,1.0,"AA",85,0.675,-2.251,269.021,-29.508,0.382,-0.081,-0.48,-18.645,5,5,"ubc1567;cwwdl4491","0.92;0.76"
"KHARCHENKO12;BICA19","1043;3254","Dutra-Bica 13;DB 13;MWSC 2748",268.82897,-29.39098,0.6939,-2.0508,"nan","nan","nan","dutrabica13;db13;mwsc2748","UCC G000.6-02.0","Q1N","nan","nan",3.1,False,25,True,0,0.17,0.6,"DB",0,0.682,-2.056,268.826,-29.407,0.173,-1.59,-2.896,-154.735,1,7,"nan","nan"
"BICA19","15","Ryu 154",261.56014,-25.26322,0.78,5.61,"nan","nan","nan","ryu154","UCC G000.7+05.6","Q1P","nan","nan",2.8,False,70,True,0,0.39,0.47,"CC",52,0.784,5.597,261.571,-25.26,0.101,-3.491,-6.806,186.958,3,0,"nan","nan"
"HUNT23","1792","HSC 7",261.39725,-25.13486,0.8055,5.8038,0.464,-5.033,-0.983,"hsc7","UCC G000.8+05.8","Q1P","nan","nan",7.6,False,52,True,0,0.16,0.43,"DC",16,0.81,5.802,261.416,-25.136,0.395,-5.073,-1.098,"nan",0,1,"nan","nan"
"HUNT23","1793","HSC 8",267.67304,-28.63475,0.8321,-0.796,0.34,0.207,-0.211,"hsc8","UCC G000.8-00.7","Q1N","nan","nan",5.6,False,36,True,0,0.75,0.76,"AA",24,0.861,-0.813,267.727,-28.628,0.347,0.197,-0.242,-14.614,5,7,"nan","nan"
"HUNT23","1794","HSC 9",269.0541,-29.3344,0.8416,-2.192,0.549,2.12,-0.289,"hsc9","UCC G000.8-02.1","Q1N","nan","nan",7.6,False,38,True,100,0.96,0.98,"AA",21,1.0,-2.258,269.204,-29.23,0.552,2.117,-0.311,21.68,2,8,"nan","nan"
"BICA19","3255","DB 19;Dutra-Bica 19",265.67313,-27.48357,0.9,1.31,"nan","nan","nan","db19;dutrabica19","UCC G000.9+01.3","Q1P","nan","nan",4.3,False,70,True,0,0.31,0.66,"CB",10,0.92,1.323,265.684,-27.468,-0.147,-3.631,-6.733,-15.289,1,1,"nan","nan"
"BICA19","3256","DB 17;Dutra-Bica 17",266.48966,-27.89227,0.93,0.48,"nan","nan","nan","db17;dutrabica17","UCC G000.9+00.4","Q1P","nan","nan",6.6,False,91,True,0,0.55,0.41,"BC",54,0.907,0.482,266.463,-27.906,0.442,-1.052,-2.975,-2.284,3,1,"nan","nan"
