"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"berkeley25",594,0.144,0.425,188.0,0.101,0.167,4.7,0.167,20.0,0.083,0.15,4.31,17.51105158,1.0,0.56,594,6.67
"fsr1207",69,0.4,0.106,70.0,0.366,0.104,2.04,0.989,44.0,0.375,0.197,1.2,10.32246352,0.7,0.62,69,1.89
"hsc1785",27,0.34,0.125,15.0,0.311,0.098,4.71,0.995,"nan","nan","nan","nan",3.77605504,0.22,0.4,27,7.87
"lisciii1197",25,0.34,0.421,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.28,0,4.02
"upk452",41,1.634,0.254,17.0,1.6,0.143,2.21,1.0,28.0,1.567,0.258,3.52,6.54137447,0.74,0.58,41,3.13
"hsc1774",49,3.445,2.251,25.0,3.594,1.492,9.86,0.028,"nan","nan","nan","nan",5.77284819,0.3,0.4,49,8.91
"oc0381",41,0.658,0.094,42.0,0.629,0.107,3.0,0.765,"nan","nan","nan","nan",8.70726398,0.41,0.56,41,3.23
"cwwdl8709",126,0.36,0.118,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.78,0.58,126,3.64
"cwnu190",41,0.659,0.099,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.54,41,2.34
"fof1406",26,0.391,0.067,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.58,26,2.75
"oc0382",52,0.399,0.099,71.0,0.327,0.092,2.95,1.0,"nan","nan","nan","nan",11.51823064,0.47,0.61,52,2.26
"hsc1786",34,0.394,0.058,62.0,0.343,0.104,9.22,1.0,"nan","nan","nan","nan",6.26680483,0.4,0.69,34,6.28
"fof1407",25,0.26,0.262,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.29,0,3.24
"cwnu2322",50,0.206,0.103,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.67,0.49,50,11.3
"hsc1788",99,0.314,0.166,19.0,0.29,0.103,5.29,1.0,"nan","nan","nan","nan",4.15053103,0.76,0.47,99,11.67
"cwwdl2070",25,0.263,0.299,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.12,0.39,0,2.32
"hsc1789",30,0.226,0.068,74.0,0.207,0.158,8.45,0.347,"nan","nan","nan","nan",3.3492986,0.54,0.61,30,2.45
"fsr1209",120,0.238,0.156,80.0,0.196,0.102,2.78,1.0,41.0,0.188,0.141,3.03,14.07675413,1.0,0.58,120,3.67
"cwnu1611",41,0.393,0.085,19.0,0.369,0.068,5.78,0.989,"nan","nan","nan","nan",3.59709957,0.32,0.49,41,6.74
"cwnu1460",25,0.321,0.073,25.0,0.305,0.081,3.02,1.0,"nan","nan","nan","nan",5.39318672,0.64,0.56,23,2.63
"hsc1790",31,0.441,0.146,22.0,0.412,0.176,3.1,0.995,"nan","nan","nan","nan",3.19246363,0.18,0.37,31,7.78
"fsr1210",53,0.185,0.28,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.5,0.32,53,8.81
"cwwdl626",25,0.355,0.252,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.26,0,2.87
"hsc1791",25,1.53,0.401,57.0,1.536,0.375,5.28,0.015,"nan","nan","nan","nan",5.50373783,0.15,0.31,0,2.7
"oc0383",63,0.295,0.145,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.65,0.48,63,9.47
"fsr1211",196,0.308,0.196,120.0,0.279,0.135,3.26,0.993,57.0,0.291,0.151,2.3,16.96599636,1.0,0.6,196,5.38
"oc0384",395,0.153,0.19,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.64,395,8.75
"gaia1",325,0.183,0.163,910.0,0.162,0.198,6.95,0.646,185.0,0.141,0.198,10.35,27.74513613,1.0,0.68,325,7.95
"oc0385",231,0.284,0.189,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.56,231,4.3
"oc0386",222,0.259,0.175,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.83,0.57,222,4.38
"fsr1212",112,0.198,0.203,52.0,0.13,0.12,1.86,0.278,24.0,0.079,0.205,2.5,5.2411202,0.88,0.49,112,5.14
"haffner8",369,0.357,0.177,179.0,0.331,0.106,2.06,0.999,93.0,0.317,0.127,2.22,20.15532383,1.0,0.62,369,3.91
"hsc1793",31,0.415,0.102,69.0,0.379,0.098,18.65,0.995,"nan","nan","nan","nan",8.55930939,0.35,0.47,31,6.31
"oc0387",470,0.315,0.188,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.62,470,3.23
"oc0388",64,0.186,0.091,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.83,0.47,64,3.75
"ubc1365",71,0.395,0.087,69.0,0.383,0.123,2.66,0.896,"nan","nan","nan","nan",13.30005546,0.4,0.78,71,7.29
"berkeley36",354,0.304,0.173,678.0,0.22,0.195,4.14,0.169,150.0,0.177,0.228,3.9,34.624388,1.0,0.57,354,3.25
"cwwdl87",135,0.404,0.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.49,135,4.46
"ngc2396",218,0.707,0.134,223.0,0.675,0.155,4.54,0.999,148.0,0.654,0.141,4.92,21.63769743,1.0,0.65,218,4.16
"ubc1366",35,0.399,0.059,64.0,0.352,0.135,2.74,0.999,"nan","nan","nan","nan",6.63558334,0.81,0.85,35,2.77
"hsc1794",39,0.137,0.103,22.0,0.101,0.073,8.16,0.594,"nan","nan","nan","nan",5.46294525,0.81,0.51,39,5.73
"cwnu1598",25,0.509,0.321,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.23,0,2.29
"cwnu501",41,0.998,0.196,36.0,0.972,0.232,2.57,0.952,"nan","nan","nan","nan",7.31365294,0.96,0.57,41,2.68
"cwwdl12870",25,0.274,0.31,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.3,0,3.61
"ngc2548",821,1.323,0.367,778.0,1.293,0.328,4.37,0.999,454.0,1.287,0.305,5.0,99.0,1.0,1.0,821,5.08
"hsc1797",32,0.702,0.164,13.0,0.692,0.124,2.88,1.0,"nan","nan","nan","nan",3.59452392,0.42,0.32,32,4.97
"collinder467",45,0.399,0.088,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.79,0.7,45,2.19
