"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"ngc2910",497,0.8,0.247,422.0,0.772,0.215,2.07,0.999,118.0,0.749,0.258,1.24,29.15056757,1.0,0.6,497,2.29
"cwnu1768",42,0.555,0.093,28.0,0.528,0.108,3.96,0.996,"nan","nan","nan","nan",5.50846893,0.97,0.51,42,7.29
"hsc2231",25,6.393,1.266,26.0,6.352,1.547,1.7,0.883,"nan","nan","nan","nan",4.12213403,0.1,0.52,25,3.57
"hsc2232",43,0.987,0.271,55.0,0.958,0.379,6.91,0.898,"nan","nan","nan","nan",8.21114199,0.84,0.37,43,6.75
"sai109",385,0.163,0.276,154.0,0.129,0.159,4.73,0.851,65.0,0.064,0.269,8.08,16.90795208,1.0,0.55,385,5.35
"cwwdl2734",62,0.268,0.147,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.58,0.46,62,6.62
"cwwdl3638",25,0.262,0.36,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.21,0,2.66
"cwnu1833",67,0.481,0.113,48.0,0.471,0.141,3.55,0.254,"nan","nan","nan","nan",5.74633067,0.48,0.52,67,6.29
"ubc491",25,0.306,0.056,"nan","nan","nan","nan","nan",84.0,0.245,0.141,9.26,"nan",0.37,0.58,24,7.41
"vdbh72",207,0.164,0.133,123.0,0.156,0.109,3.12,0.972,55.0,0.1,0.156,3.65,15.39732944,1.0,0.7,207,4.26
"oc0516",164,0.175,0.114,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.74,164,3.82
"cwwdl107",69,0.249,0.098,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.66,69,4.09
"ubc1463",25,0.26,0.052,45.0,0.22,0.087,1.94,0.858,"nan","nan","nan","nan",6.42316996,0.62,0.97,18,2.46
"ubc1464",42,0.332,0.054,102.0,0.295,0.143,4.64,0.11,"nan","nan","nan","nan",8.22808865,0.92,0.85,42,3.77
"vdbh58",25,0.234,0.364,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.23,0,2.61
"lisc3642",25,0.256,0.051,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.44,0.33,0,3.3
"cwwdl209",25,0.258,0.245,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.4,0.31,0,2.37
"hsc2233",34,1.046,0.156,24.0,1.012,0.145,3.47,0.287,"nan","nan","nan","nan",6.71407281,0.9,0.46,34,4.7
"hsc2234",39,0.984,0.17,17.0,0.983,0.193,3.3,0.868,"nan","nan","nan","nan",5.58265994,0.39,0.4,39,6.65
"hsc2235",42,1.873,0.385,18.0,1.859,0.366,4.42,0.949,"nan","nan","nan","nan",5.13353971,0.81,0.61,42,6.46
"hsc2236",25,0.863,0.357,42.0,0.872,0.227,12.61,0.994,"nan","nan","nan","nan",3.67348128,0.54,0.26,0,2.26
"ruprecht78",528,0.152,0.262,97.0,0.119,0.109,9.79,0.043,74.0,0.099,0.273,6.48,12.25239163,1.0,0.59,528,5.93
"hsc2229",49,3.79,6.135,30.0,3.95,1.728,17.07,0.622,"nan","nan","nan","nan",3.39244849,0.09,0.31,49,6.57
"ubc1465",128,0.669,0.108,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.96,0.65,128,8.0
"cwwdl14184",44,0.677,0.074,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.84,0.62,44,3.74
"cwwdl13969",45,0.677,0.074,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.65,45,3.57
"cwnu184",43,0.67,0.072,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.9,0.62,43,3.39
"hsc2237",25,4.041,0.848,15.0,4.012,0.818,3.04,0.594,"nan","nan","nan","nan",5.82829998,0.6,0.51,0,3.03
"cwwdl11182",25,0.324,0.19,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.23,0.35,0,2.96
"cwwdl2996",59,0.241,0.207,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.49,0.4,59,7.12
"ubc1466",112,0.125,0.106,68.0,0.096,0.13,3.45,0.053,"nan","nan","nan","nan",4.42107855,0.92,0.73,112,10.47
"cwwdl3439",25,0.295,0.23,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.31,0,3.94
"ngc2925",294,1.343,0.293,273.0,1.311,0.282,3.15,1.0,84.0,1.293,0.257,1.9,23.1725577,1.0,0.76,294,3.1
"ascc52",29,0.407,0.087,39.0,0.389,0.095,13.56,0.979,"nan","nan","nan","nan",3.79467954,0.17,0.42,29,9.08
"hsc2239",47,1.549,0.182,64.0,1.516,0.233,6.47,0.986,"nan","nan","nan","nan",12.70073036,0.51,0.71,47,4.94
"vdbh66",448,0.157,0.174,407.0,0.126,0.242,6.25,0.268,27.0,0.09,0.095,4.14,15.13425545,1.0,0.67,448,5.56
"eso50219",25,0.232,1.173,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.06,0.32,0,7.15
"cwnu1903",35,0.38,0.099,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.32,0.46,35,4.52
"ngc2609",72,0.181,0.428,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.92,0.4,72,9.96
"cwnu2354",114,0.209,0.159,30.0,0.164,0.102,2.42,0.684,"nan","nan","nan","nan",3.49251322,1.0,0.58,114,5.01
"fof1992",25,0.212,0.331,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.23,0,3.16
"fsr1496",68,0.269,0.128,50.0,0.25,0.147,2.06,0.21,"nan","nan","nan","nan",6.68029675,0.33,0.63,68,3.14
"cwwdl212",79,0.637,0.116,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.62,79,3.01
"cwnu2493",66,0.269,0.123,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.61,66,3.03
"ubc253",63,0.633,0.081,80.0,0.607,0.126,3.34,1.0,38.0,0.576,0.124,1.76,13.31219983,1.0,0.78,63,3.54
"hsc2241",25,0.323,0.09,17.0,0.276,0.121,2.75,0.255,"nan","nan","nan","nan",3.67045602,0.1,0.51,22,3.96
"hsc2256",201,1.458,3.674,37.0,1.153,0.8,17.67,0.004,"nan","nan","nan","nan",3.59991653,1.0,0.18,201,8.26
"oc0517",25,0.311,0.053,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.8,0.78,14,2.34
"cwnu88",45,1.867,0.397,58.0,1.837,0.465,6.85,0.996,"nan","nan","nan","nan",11.03373443,0.93,0.74,45,3.93
"sai108",45,0.294,0.07,77.0,0.258,0.106,2.3,0.992,34.0,0.254,0.216,3.31,9.30573352,0.81,0.83,45,1.98
"mwsc5083",44,0.257,0.89,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.31,44,8.38
"cwnu2526",25,0.313,0.047,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.8,0.61,25,5.85
"hsc2244",25,1.704,0.243,41.0,1.661,0.551,6.9,0.99,"nan","nan","nan","nan",7.97381742,0.58,0.71,25,2.13
"cwnu2557",62,0.422,0.075,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.6,62,6.82
"cwnu1272",32,0.411,0.068,20.0,0.373,0.083,2.8,0.692,"nan","nan","nan","nan",4.39435434,0.22,0.55,32,7.08
"gulliver7",362,0.148,0.183,203.0,0.117,0.101,5.28,0.99,56.0,0.082,0.212,7.06,10.52879984,1.0,0.66,362,5.31
"ruprecht77",82,0.311,0.117,62.0,0.282,0.145,3.67,0.999,17.0,0.222,0.11,3.25,8.79736207,0.88,0.61,82,3.65
"ruprecht77a",25,0.206,0.293,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.25,0,3.11
"ubc1467",105,0.462,0.088,140.0,0.426,0.211,3.72,0.508,"nan","nan","nan","nan",7.73082611,0.75,0.69,105,11.77
"hsc2246",55,0.839,0.186,17.0,0.832,0.122,3.68,0.84,"nan","nan","nan","nan",4.96232741,0.99,0.43,55,5.65
"oc0518",25,0.555,0.114,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.59,0.37,20,3.72
"fsr1498",25,0.185,0.277,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.3,0.32,0,3.3
"cwnu1161",28,2.583,0.388,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.32,0.62,28,5.18
"ubc255",122,1.087,0.187,112.0,1.061,0.295,4.24,0.547,49.0,1.049,0.268,2.0,13.28805577,1.0,0.84,122,7.79
"fof2236",343,1.007,0.295,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.65,343,4.04
"ubc254",115,0.581,0.084,123.0,0.556,0.124,3.24,1.0,66.0,0.525,0.133,3.03,17.68122453,1.0,1.0,115,4.91
"cwwdl765",87,0.581,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,0.87,87,3.05
"ubc256",314,1.008,0.243,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.77,314,4.04
"upk549",296,1.008,0.253,268.0,0.978,0.235,3.06,0.992,170.0,0.96,0.207,3.55,23.29391311,1.0,0.72,296,3.61
"hsc2247",50,2.371,0.414,46.0,2.37,0.5,10.58,0.989,"nan","nan","nan","nan",9.09279675,0.98,0.65,50,8.88
"ruprecht75",75,0.24,0.089,279.0,0.216,0.18,5.27,0.989,39.0,0.193,0.167,1.9,22.11054901,1.0,0.76,75,3.03
"oc0519",109,0.259,0.101,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.74,109,3.37
"fsr1500",93,0.176,0.113,67.0,0.139,0.168,1.23,0.008,"nan","nan","nan","nan",3.82198856,1.0,0.63,93,13.22
"cwwdl207",39,0.249,0.093,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.37,0.44,39,12.73
"lisc3692",25,0.269,0.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.22,0,2.92
"collinder213",25,0.453,0.056,90.0,0.408,0.149,5.33,0.998,"nan","nan","nan","nan",9.33970246,0.96,0.59,25,2.76
"hsc2248",27,0.266,0.066,20.0,0.256,0.077,4.6,0.082,"nan","nan","nan","nan",6.09234266,0.07,0.69,27,4.26
"ubc492",31,0.453,0.061,"nan","nan","nan","nan","nan",29.0,0.39,0.11,3.71,"nan",0.87,0.65,31,3.6
"hsc2249",30,0.437,0.085,21.0,0.41,0.158,1.56,0.992,"nan","nan","nan","nan",4.24796817,0.55,0.5,30,4.13
"vdbh85",365,0.179,0.255,181.0,0.138,0.169,2.86,0.227,74.0,0.105,0.279,5.1,16.06713141,1.0,0.59,365,4.39
"oc0520",411,0.185,0.271,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.59,411,5.03
"cwnu1210",25,2.351,1.345,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.27,0,3.07
"vdbh75",35,0.428,0.086,119.0,0.397,0.142,9.22,0.944,"nan","nan","nan","nan",8.32382352,0.48,0.54,35,5.03
"lisc3651",25,0.214,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.28,0,8.84
"lisc3683",25,0.237,0.094,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.21,0,2.82
"vdbh79",25,0.334,0.099,42.0,0.298,0.09,2.55,0.973,"nan","nan","nan","nan",3.08363518,0.51,0.91,0,1.13
"hsc2278",25,7.795,1.114,46.0,8.006,1.833,11.56,0.725,"nan","nan","nan","nan",9.71816547,0.13,0.64,0,7.75
"ruprecht79",597,0.28,0.152,316.0,0.247,0.112,3.19,0.996,147.0,0.223,0.135,4.11,23.05317104,1.0,0.77,597,4.99
"oc0521",57,0.361,0.086,45.0,0.334,0.092,7.77,0.564,"nan","nan","nan","nan",6.80141231,0.36,0.66,57,7.98
"platais8",299,7.373,2.387,225.0,7.408,2.473,6.85,0.999,211.0,7.386,1.74,6.4,23.37897384,1.0,1.0,299,5.82
"cwnu2646",25,0.333,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.87,0,1.22
"hsc2253",29,5.543,1.077,28.0,5.525,1.205,6.82,0.9,"nan","nan","nan","nan",8.52345724,0.78,0.57,29,6.8
"lisc3652",25,0.217,0.075,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.43,0.25,1,5.63
"ngc1641",31,0.035,0.078,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.89,0.39,31,80.62
"oc0522",26,0.167,0.066,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.63,26,5.92
"cwwl2239",25,0.291,0.152,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.41,0.41,0,2.6
"oc0523",160,0.235,0.099,169.0,0.205,0.138,4.85,0.14,"nan","nan","nan","nan",11.40139541,0.79,0.72,160,6.44
"cwnu2401",72,0.358,0.101,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.6,72,8.37
"cwnu1051",192,2.81,0.891,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.68,192,7.23
"cwnu1949",25,0.295,0.407,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.36,0.22,0,4.63
"cwnu1060",25,2.835,1.614,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.27,0,2.85
"cwnu1085",28,2.106,0.326,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.51,0.56,28,4.39
"cwnu1290",31,0.392,0.086,52.0,0.36,0.138,2.59,0.053,"nan","nan","nan","nan",4.03318034,0.61,0.62,31,3.49
"ubc1468",108,0.249,0.077,83.0,0.228,0.106,3.54,0.065,"nan","nan","nan","nan",6.04248312,0.11,0.78,108,13.32
"hsc2257",34,0.866,0.115,28.0,0.834,0.145,3.89,0.997,"nan","nan","nan","nan",4.61072605,0.68,0.51,34,5.51
"hsc2263",33,3.546,2.178,39.0,3.579,1.107,9.43,0.921,"nan","nan","nan","nan",10.00006036,0.26,0.28,33,3.65
"gulliver27",123,0.362,0.091,126.0,0.332,0.102,2.2,0.999,51.0,0.322,0.104,2.66,16.49420223,0.98,0.85,123,2.49
"cwwdl5026",35,0.263,0.042,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.69,35,11.5
"teutsch68",139,0.361,0.102,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.83,139,2.42
"lisc3682",25,0.226,0.078,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.08,0.26,0,2.83
"ruprecht82",197,0.467,0.111,229.0,0.438,0.134,3.02,0.997,93.0,0.433,0.129,2.56,21.08508298,1.0,0.83,197,2.87
"basel20",25,0.25,0.346,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,0.26,0,3.37
"ubc493",62,0.621,0.089,40.0,0.595,0.092,3.35,0.912,25.0,0.565,0.102,3.8,9.38848377,0.98,0.82,62,4.5
"melotte97",496,0.762,0.175,510.0,0.734,0.182,3.67,1.0,404.0,0.727,0.203,5.35,34.1183768,1.0,0.82,496,3.97
"oc0524",25,0.423,0.088,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.62,24,2.41
"pismis16",41,0.398,0.08,121.0,0.375,0.178,3.49,0.92,1.0,0.347,0.0,0.44,6.88958414,0.74,0.69,41,3.51
"cwnu2472",68,0.33,0.095,50.0,0.295,0.108,3.87,0.642,"nan","nan","nan","nan",10.33291293,0.94,0.65,68,5.11
"cwnu1933",25,0.308,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.59,23,2.27
"ascc54",25,0.301,0.24,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.33,0,2.61
"fsr1507",25,0.308,0.084,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.85,0.65,22,2.27
"cwnu1837",48,0.346,0.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.59,48,7.65
"cwnu1855",25,0.395,0.234,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.32,0.31,0,2.72
"cwnu1319",25,0.635,0.169,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.45,0.31,0,2.15
"ngc2995",32,0.155,0.097,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.75,0.54,32,12.01
"hsc2260",56,2.36,0.428,58.0,2.35,0.681,7.91,0.991,"nan","nan","nan","nan",10.1513665,0.99,0.83,56,4.77
"ngc2348",25,0.039,0.41,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.63,0,38.04
"alessi189",25,0.229,1.549,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.42,0,6.73
"cwnu1862",36,0.342,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.7,0.48,36,5.78
"hsc2261",71,0.097,0.161,50.0,0.075,0.141,14.15,0.287,"nan","nan","nan","nan",5.75877886,0.86,0.54,71,9.3
"cwnu1590",33,0.657,0.089,49.0,0.623,0.129,6.53,0.981,"nan","nan","nan","nan",6.24783821,0.55,0.5,33,4.65
"upk560",128,1.72,0.393,162.0,1.684,0.639,11.92,0.643,87.0,1.661,0.475,10.56,14.84999917,0.97,0.75,128,6.9
"lisc3643",25,0.232,0.076,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.15,0.24,0,14.8
"lisc3635",25,0.211,0.072,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.28,0,3.72
"cwwdl472",73,0.392,0.108,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.66,0.7,73,3.86
"ubc1469",25,0.381,0.051,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.45,0.82,17,5.5
"phoc22",43,0.394,0.078,68.0,0.362,0.138,3.78,0.945,"nan","nan","nan","nan",11.62387185,0.64,0.72,43,2.44
"lisc3634",25,0.205,0.062,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.34,0,6.39
"oc0525",34,0.21,0.091,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.68,0.66,34,4.71
"oc0526",144,0.285,0.109,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.96,1.0,144,2.96
"oc0527",140,0.286,0.105,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.95,1.0,140,2.85
"ruprecht83",126,0.285,0.113,210.0,0.256,0.11,2.54,0.992,73.0,0.224,0.161,2.41,22.4877441,1.0,1.0,126,2.25
"teutsch67",30,0.067,0.136,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.48,30,12.16
"oc0528",25,0.285,0.049,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.89,1.0,16,1.33
"cwnu2177",31,0.353,0.069,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.52,31,7.09
"lisc3684",25,0.25,0.087,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.27,0,3.03
"ubc1623",25,0.333,0.052,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.45,0.49,17,10.22
"cwnu1629",44,0.403,0.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.54,44,5.77
"oc0529",25,0.563,0.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.77,0.57,18,2.48
"fsr1509",95,0.207,0.156,"nan","nan","nan","nan","nan",32.0,0.201,0.311,2.1,"nan",0.94,0.63,95,4.78
"vdbh88",25,0.544,0.119,55.0,0.532,0.189,3.48,0.671,"nan","nan","nan","nan",7.93752519,0.94,0.45,0,1.55
"fsr1510",25,0.194,0.216,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.3,0,4.05
"lisc3681",25,0.22,0.079,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.24,0,7.54
"cwnu1928",64,0.409,0.092,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.57,64,9.53
"cwnu1673",60,0.31,0.087,72.0,0.282,0.127,2.87,0.13,"nan","nan","nan","nan",6.7245981,0.64,0.66,60,6.57
"ubc494",65,0.268,0.059,128.0,0.241,0.118,4.6,0.915,45.0,0.227,0.157,3.84,15.90095746,0.87,0.93,65,4.78
"teutschj095965313",25,0.359,0.242,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.42,0,2.27
"cwwdl205",37,0.277,0.061,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.72,0.83,37,2.31
"ngc1901",149,2.419,0.454,231.0,2.374,0.936,6.13,0.997,69.0,2.36,0.324,4.83,22.5537351,1.0,0.75,149,5.03
"fsr1511",70,0.18,0.635,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.88,0.32,70,8.57
"cwnu1863",38,0.361,0.076,25.0,0.31,0.091,2.08,0.895,"nan","nan","nan","nan",3.73285935,0.33,0.6,38,4.75
"cwwdl14525",147,2.419,0.449,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.72,147,5.0
"ubc1470",32,0.359,0.044,84.0,0.31,0.109,6.87,0.91,"nan","nan","nan","nan",7.17658746,0.62,0.56,32,15.8
"hsc2266",35,1.504,0.582,50.0,1.484,0.761,6.83,0.777,"nan","nan","nan","nan",5.89392232,0.71,0.32,35,3.77
"hsc2268",52,0.525,0.175,29.0,0.509,0.149,5.55,0.959,"nan","nan","nan","nan",4.66314314,0.84,0.39,52,6.32
"mwsc5088",25,0.42,0.886,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.33,0,3.74
"cwnu1912",25,0.414,0.148,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.42,0,3.02
"cwnu2919",27,0.251,0.084,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.4,0.64,27,1.74
"hsc2270",48,2.662,0.694,23.0,2.649,0.571,8.22,0.99,"nan","nan","nan","nan",5.20418033,0.83,0.56,48,6.98
"hsc2271",33,1.899,0.244,28.0,1.858,0.394,6.98,0.912,"nan","nan","nan","nan",6.38745215,0.7,0.64,33,5.93
"vdbh78",208,0.151,0.145,65.0,0.122,0.11,1.64,0.195,46.0,0.144,0.282,1.51,9.58203388,0.93,0.66,208,10.79
"fsr1513",25,0.21,0.211,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.37,0,2.63
"hsc2272",25,0.273,0.295,17.0,0.19,0.128,4.18,0.669,"nan","nan","nan","nan",3.7128219,0.3,0.24,0,1.92
"mf1",40,0.426,0.055,36.0,0.397,0.085,2.74,0.998,"nan","nan","nan","nan",6.34100929,0.33,0.73,40,5.53
"hsc2273",25,0.425,0.091,22.0,0.393,0.108,3.35,0.885,"nan","nan","nan","nan",5.98467376,0.7,0.48,25,4.45
"ubc1471",42,0.426,0.058,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.41,0.74,42,5.6
"hsc2274",101,0.189,0.11,84.0,0.163,0.128,3.4,0.973,"nan","nan","nan","nan",8.55384225,0.68,0.64,101,6.16
"ubc495",40,0.25,0.042,90.0,0.233,0.12,3.34,0.976,48.0,0.222,0.144,4.32,7.03399324,0.52,1.0,40,5.35
"lisc3701",25,0.202,0.075,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.44,0.27,3,7.2
"cwnu2757",39,0.641,0.078,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.59,39,4.49
"fsr1514",55,0.232,0.902,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.27,55,5.77
"hsc2282",25,2.226,0.819,96.0,2.265,1.159,15.74,0.993,"nan","nan","nan","nan",5.30755034,0.26,0.3,0,2.97
"ruprecht87",25,0.243,0.322,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.39,0.27,0,2.63
"cwnu515",48,4.891,1.145,69.0,4.867,2.384,5.06,0.997,"nan","nan","nan","nan",12.98053429,0.89,0.8,48,3.35
"lisc3653",25,0.217,0.068,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.33,0,3.89
"cwnu1316",25,0.395,0.179,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.26,0.4,0,2.21
"hogg4",514,0.269,0.116,604.0,0.239,0.141,5.71,0.843,226.0,0.208,0.148,6.4,33.45459931,1.0,0.91,514,5.19
"hsc2275",25,0.211,0.069,16.0,0.194,0.113,1.29,0.993,"nan","nan","nan","nan",3.58445164,0.44,0.63,20,4.83
"fsr1517",25,0.321,0.336,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.27,0,2.36
"ruprecht159",25,0.188,0.234,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.36,0.33,0,4.33
"ngc3033",129,0.577,0.115,175.0,0.548,0.186,3.61,0.997,84.0,0.531,0.177,3.35,17.28812279,1.0,0.69,129,3.58
"fsr1518",25,0.125,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.6,21,5.12
"hsc2297",25,2.191,1.127,59.0,2.25,0.863,19.36,0.206,"nan","nan","nan","nan",3.4435445,0.09,0.34,0,4.53
"ubc651",79,0.298,0.072,62.0,0.273,0.103,6.43,0.962,18.0,0.244,0.127,6.01,11.13453956,0.76,0.8,79,9.18
"lisc3655",25,0.204,0.054,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.31,1,10.55
"cwnu2026",28,0.226,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.75,0.57,28,8.11
"hogg2",25,0.233,0.278,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.31,0,2.75
"ngc3105",304,0.152,0.14,187.0,0.121,0.123,3.89,0.646,84.0,0.111,0.181,3.02,16.44410225,0.95,0.76,304,6.7
"mwsc5117",25,0.242,1.145,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.25,0.39,0,7.81
"cwwdl13562",25,0.477,0.168,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.37,0.43,0,2.2
"ngc1785",25,0.025,0.035,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.49,8,69.81
"cwnu1843",26,0.484,0.087,21.0,0.452,0.107,4.01,0.774,"nan","nan","nan","nan",3.15101076,0.16,0.56,26,3.19
"cwnu1530",54,0.377,0.089,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.37,0.57,54,7.56
"upk552",52,3.104,0.459,79.0,3.126,1.096,4.47,0.997,44.0,3.056,0.527,3.65,14.05471147,0.41,0.9,52,3.23
"cwnu2321",57,0.302,0.109,37.0,0.274,0.105,2.11,0.919,"nan","nan","nan","nan",6.85978532,0.77,0.69,57,2.41
"hsc2280",25,1.768,0.384,113.0,1.763,1.017,12.24,0.954,"nan","nan","nan","nan",12.73188781,0.31,0.5,24,4.11
"ruprecht85",613,0.21,0.181,317.0,0.181,0.139,3.9,0.85,108.0,0.168,0.164,3.51,25.36955966,1.0,0.72,613,5.26
"cwnu1426",36,0.683,0.097,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.5,36,4.39
"hsc2281",25,0.418,0.157,167.0,0.387,0.27,7.36,0.95,"nan","nan","nan","nan",10.27995578,0.46,0.75,0,1.25
