DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE
1,Ryu 644,273.41698,-21.51701,9.59001,-1.8,nan,nan,nan
1,Ryu 184,274.60843,-22.05684,9.64001,-3.03,nan,nan,nan
1_2,"FSR_35,MWSC 2797",271.07212,-20.18365,9.69487,0.76286,nan,nan,nan
1,Ryu 645,273.42196,-21.38298,9.71001,-1.74,nan,nan,nan
1,Ryu 646,270.98654,-20.00621,9.81001,0.92,nan,nan,nan
1,Ryu 647,272.11767,-20.58821,9.82001,-0.29,nan,nan,nan
1_2_3_4_6_7,"M 23,NGC 6494,Melotte 184,Collinder 356,OCL 30,ESO_589_22,MWSC 2757",269.23837,-18.99834,9.86868,2.85073,1.363,0.292,-1.817
1_2,"FSR_37,MWSC 3037",285.35051,-26.56697,9.87659,-13.79998,nan,nan,nan
1,Ryu 648,276.70693,-22.77219,9.91001,-5.08,nan,nan,nan
1,Ryu 649,276.55783,-22.6898,9.92001,-4.92,nan,nan,nan
1,Ryu 186,272.67031,-20.74832,9.93,-0.82001,nan,nan,nan
1,Ryu 650,271.25435,-19.98722,9.95001,0.70999,nan,nan,nan
1,Ryu 187,272.58698,-20.68255,9.95001,-0.72,nan,nan,nan
1,Ryu 651,273.28648,-21.02957,9.96001,-1.46,nan,nan,nan
1,Ryu 652,272.64085,-20.65324,10.00001,-0.75001,nan,nan,nan
1,"PannSTARS 1,PS1 1",289.16966,-27.82882,10.04001,-17.42,nan,nan,nan
1,"VVV 157,VVV-CL 157",271.02964,-19.73064,10.07001,1.02,nan,nan,nan
1,Ryu 188,268.07203,-18.07664,10.11001,4.27,nan,nan,nan
1,"VVV 160,VVV-CL 160",271.73903,-20.01298,10.15001,0.3,nan,nan,nan
1,Ryu 653,273.62727,-20.8841,10.24001,-1.67,nan,nan,nan
1,Ryu 654,274.29873,-21.15455,10.30001,-2.35,nan,nan,nan
1,Ryu 189,276.5692,-22.23505,10.33001,-4.72,nan,nan,nan
1,"VVV 163,VVV-CL 163",273.49036,-20.70077,10.34001,-1.47,nan,nan,nan
