filename,ra_min,ra_max,dec_min,dec_max
GaiaSource_116224-118619_p.csv.gz,120.007,147.244,48.155,63.812
GaiaSource_118620-121499_p.csv.gz,130.013,180.000,54.381,72.365
GaiaSource_121500-123646_p.csv.gz,108.003,179.999,54.352,78.260
GaiaSource_123647-125199_p.csv.gz,100.012,134.988,60.442,72.385
GaiaSource_125200-126263_p.csv.gz,90.000,117.655,63.466,72.376
GaiaSource_126264-127785_p.csv.gz,90.000,149.980,66.459,78.260
GaiaSource_127786-129587_p.csv.gz,100.047,180.001,72.395,84.128
GaiaSource_129588-131010_p.csv.gz,90.000,180.000,76.819,88.529
GaiaSource_131011-132722_p.csv.gz,90.033,236.233,0.005,89.963
GaiaSource_132723-134879_p.csv.gz,213.769,233.426,4.806,16.945
GaiaSource_134880-136450_p.csv.gz,220.805,245.037,9.620,19.454
GaiaSource_136451-138123_p.csv.gz,225.005,247.483,14.486,24.600
GaiaSource_138124-140299_p.csv.gz,208.163,241.853,9.620,29.985
GaiaSource_140300-143213_p.csv.gz,202.529,224.993,14.493,27.937
GaiaSource_143214-145582_p.csv.gz,210.953,236.235,19.477,35.656
GaiaSource_145583-147785_p.csv.gz,213.793,252.412,19.480,41.792
GaiaSource_147786-148932_p.csv.gz,241.884,258.737,22.034,31.379
GaiaSource_148933-150327_p.csv.gz,236.272,257.333,24.643,35.677
GaiaSource_150328-151647_p.csv.gz,239.069,261.542,30.018,41.807
GaiaSource_151648-152645_p.csv.gz,253.133,266.478,31.402,41.798
GaiaSource_152646-153560_p.csv.gz,258.759,270.000,37.173,46.946
GaiaSource_153561-154811_p.csv.gz,247.516,270.000,35.710,48.129
GaiaSource_154812-156142_p.csv.gz,233.449,270.000,30.023,54.324
GaiaSource_156143-158209_p.csv.gz,227.667,247.479,32.814,48.114
GaiaSource_158210-160279_p.csv.gz,225.010,257.134,38.896,54.322
GaiaSource_160280-161702_p.csv.gz,244.289,270.000,45.811,58.900
GaiaSource_161703-163359_p.csv.gz,240.043,270.000,48.168,63.425
GaiaSource_163360-165788_p.csv.gz,196.898,270.000,19.484,66.431
GaiaSource_165789-169159_p.csv.gz,191.263,222.186,24.639,41.769
GaiaSource_169160-172467_p.csv.gz,188.454,224.958,30.024,54.307
GaiaSource_172468-176297_p.csv.gz,179.999,203.994,32.808,54.315
GaiaSource_176298-179861_p.csv.gz,180.000,209.973,44.813,63.418
GaiaSource_179862-182643_p.csv.gz,180.000,239.969,41.852,66.425
GaiaSource_182644-185173_p.csv.gz,210.017,251.972,51.277,66.434
GaiaSource_185174-186938_p.csv.gz,227.662,270.000,60.452,72.356
GaiaSource_186939-188926_p.csv.gz,204.569,270.000,54.369,78.262
GaiaSource_188927-191879_p.csv.gz,180.000,224.975,57.427,73.857
GaiaSource_191880-194042_p.csv.gz,180.000,269.999,66.472,80.842
GaiaSource_194043-195959_p.csv.gz,180.000,270.000,72.412,85.241
GaiaSource_195960-196976_p.csv.gz,180.000,320.612,0.004,89.990
GaiaSource_196977-197459_p.csv.gz,309.384,319.916,2.395,7.178
GaiaSource_197460-198140_p.csv.gz,312.195,326.240,4.788,11.715
GaiaSource_198141-198695_p.csv.gz,308.332,323.784,4.788,14.472
GaiaSource_198696-199005_p.csv.gz,306.566,314.993,5.681,10.045
GaiaSource_199006-199284_p.csv.gz,305.159,314.456,7.182,12.023
GaiaSource_199285-199493_p.csv.gz,303.754,311.474,8.389,12.024
GaiaSource_199494-199774_p.csv.gz,306.569,317.808,9.596,14.474
GaiaSource_199775-200211_p.csv.gz,311.494,320.618,10.813,16.942
GaiaSource_200212-200517_p.csv.gz,309.381,317.099,12.639,16.953
GaiaSource_200518-201151_p.csv.gz,312.201,331.866,9.602,19.470
GaiaSource_201152-202030_p.csv.gz,320.632,336.080,12.037,19.463
GaiaSource_202031-202882_p.csv.gz,318.874,337.483,14.484,24.616
GaiaSource_202883-203400_p.csv.gz,315.881,326.241,16.029,22.019
GaiaSource_203401-203842_p.csv.gz,315.005,327.992,18.682,24.615
GaiaSource_203843-204437_p.csv.gz,321.339,331.868,20.756,27.267
GaiaSource_204438-204827_p.csv.gz,303.049,329.050,9.596,29.995
GaiaSource_204828-204960_p.csv.gz,301.466,306.556,10.201,13.244
GaiaSource_204961-205073_p.csv.gz,300.938,307.611,11.571,14.473
GaiaSource_205074-205233_p.csv.gz,303.757,309.371,12.638,15.705
GaiaSource_205234-205346_p.csv.gz,299.886,307.968,12.028,16.951
GaiaSource_205347-205424_p.csv.gz,299.533,303.747,12.942,15.093
GaiaSource_205425-205483_p.csv.gz,298.127,303.039,13.249,15.712
GaiaSource_205484-205542_p.csv.gz,298.478,302.341,14.478,16.332
GaiaSource_205543-205624_p.csv.gz,299.535,305.154,14.483,16.954
GaiaSource_205625-205724_p.csv.gz,301.642,306.562,15.717,18.207
GaiaSource_205725-205802_p.csv.gz,300.940,305.153,16.338,18.837
GaiaSource_205803-205976_p.csv.gz,302.523,312.183,14.482,19.469
GaiaSource_205977-206183_p.csv.gz,306.565,314.998,16.338,20.100
GaiaSource_206184-206374_p.csv.gz,305.510,314.295,16.962,22.018
GaiaSource_206375-206497_p.csv.gz,304.279,309.367,17.899,20.737
GaiaSource_206498-206604_p.csv.gz,303.756,310.070,19.001,22.024
GaiaSource_206605-206756_p.csv.gz,306.919,312.183,20.107,23.315
GaiaSource_206757-206857_p.csv.gz,297.599,310.774,14.480,24.624
GaiaSource_206858-206892_p.csv.gz,296.722,299.530,14.941,16.329
GaiaSource_206893-206931_p.csv.gz,297.071,300.581,15.715,16.957
GaiaSource_206932-206974_p.csv.gz,298.128,300.934,16.336,18.051
GaiaSource_206975-207000_p.csv.gz,296.018,299.704,15.716,18.207
GaiaSource_207001-207023_p.csv.gz,295.314,297.771,16.336,17.582
GaiaSource_207024-207049_p.csv.gz,296.016,298.825,16.960,18.208
GaiaSource_207050-207079_p.csv.gz,297.071,299.527,17.427,18.837
GaiaSource_207080-207108_p.csv.gz,296.720,301.461,16.960,19.470
GaiaSource_207109-207165_p.csv.gz,299.538,302.339,17.271,19.309
GaiaSource_207166-207227_p.csv.gz,300.591,303.745,18.214,20.421
GaiaSource_207228-207268_p.csv.gz,298.479,302.691,18.212,20.741
GaiaSource_207269-207305_p.csv.gz,298.127,301.640,19.158,20.741
GaiaSource_207306-207349_p.csv.gz,299.535,302.342,19.950,21.540
GaiaSource_207350-207375_p.csv.gz,294.612,301.463,16.959,22.023
GaiaSource_207376-207396_p.csv.gz,294.261,296.717,17.584,18.837
GaiaSource_207397-207417_p.csv.gz,293.908,296.015,17.897,19.152
GaiaSource_207418-207440_p.csv.gz,294.610,297.595,18.212,19.470
GaiaSource_207441-207465_p.csv.gz,295.490,298.121,18.841,20.104
GaiaSource_207466-207491_p.csv.gz,293.559,297.421,18.214,20.741
GaiaSource_207492-207524_p.csv.gz,292.853,295.309,18.526,20.104
GaiaSource_207525-207556_p.csv.gz,292.503,295.839,19.156,20.740
GaiaSource_207557-207587_p.csv.gz,294.262,296.717,19.792,21.378
GaiaSource_207588-207629_p.csv.gz,293.910,298.826,19.473,22.018
GaiaSource_207630-207656_p.csv.gz,296.895,299.529,20.107,21.381
GaiaSource_207657-207681_p.csv.gz,296.720,299.881,20.584,22.022
GaiaSource_207682-207715_p.csv.gz,298.480,300.936,20.905,22.666
GaiaSource_207716-207749_p.csv.gz,296.369,300.233,20.746,23.314
GaiaSource_207750-207782_p.csv.gz,295.670,298.124,21.065,22.669
GaiaSource_207783-207819_p.csv.gz,295.316,298.824,21.709,23.314
GaiaSource_207820-207852_p.csv.gz,296.722,299.527,22.670,23.968
GaiaSource_207853-207918_p.csv.gz,297.073,305.155,19.479,24.620
GaiaSource_207919-208001_p.csv.gz,302.173,306.558,20.745,23.314
GaiaSource_208002-208052_p.csv.gz,300.939,303.749,20.903,22.668
GaiaSource_208053-208113_p.csv.gz,301.644,305.154,22.030,23.967
GaiaSource_208114-208201_p.csv.gz,303.052,308.671,22.026,24.623
GaiaSource_208202-208290_p.csv.gz,304.103,309.371,23.320,25.937
GaiaSource_208291-208363_p.csv.gz,303.756,307.958,24.300,26.608
GaiaSource_208364-208417_p.csv.gz,300.064,307.259,22.027,27.277
GaiaSource_208418-208472_p.csv.gz,299.537,303.744,22.835,24.952
GaiaSource_208473-208536_p.csv.gz,298.832,303.396,23.323,25.941
GaiaSource_208537-208596_p.csv.gz,298.126,302.163,23.973,25.942
GaiaSource_208597-208655_p.csv.gz,299.539,304.450,24.627,27.274
GaiaSource_208656-208716_p.csv.gz,302.348,305.852,25.284,27.276
GaiaSource_208717-208781_p.csv.gz,301.643,306.558,25.950,28.630
GaiaSource_208782-208874_p.csv.gz,300.940,305.149,26.611,29.305
GaiaSource_208875-209103_p.csv.gz,302.525,317.809,19.477,29.998
GaiaSource_209104-209404_p.csv.gz,313.598,320.619,22.030,26.943
GaiaSource_209405-209585_p.csv.gz,309.381,318.156,22.029,27.271
GaiaSource_209586-209771_p.csv.gz,310.084,317.806,24.625,27.950
GaiaSource_209772-209960_p.csv.gz,312.193,322.024,24.627,29.994
GaiaSource_209961-210286_p.csv.gz,317.816,326.243,25.783,30.683
GaiaSource_210287-210550_p.csv.gz,316.410,325.541,27.282,32.792
GaiaSource_210551-210734_p.csv.gz,315.001,322.031,28.633,32.791
GaiaSource_210735-210922_p.csv.gz,317.816,323.435,31.392,34.944
GaiaSource_210923-211039_p.csv.gz,307.972,321.324,24.630,35.678
GaiaSource_211040-211134_p.csv.gz,306.563,311.479,25.952,28.625
GaiaSource_211135-211238_p.csv.gz,307.800,313.590,27.283,29.999
GaiaSource_211239-211349_p.csv.gz,310.081,314.997,28.295,31.384
GaiaSource_211350-211449_p.csv.gz,309.376,313.591,29.321,32.440
GaiaSource_211450-211521_p.csv.gz,305.158,312.534,27.285,32.793
GaiaSource_211522-211601_p.csv.gz,304.459,309.373,28.635,31.385
GaiaSource_211602-211665_p.csv.gz,303.753,307.609,29.322,31.386
GaiaSource_211666-211731_p.csv.gz,305.158,310.427,30.004,32.789
GaiaSource_211732-211821_p.csv.gz,307.972,312.186,30.696,33.508
GaiaSource_211822-211890_p.csv.gz,306.565,311.481,31.393,34.227
GaiaSource_211891-211964_p.csv.gz,307.269,310.775,32.802,35.315
GaiaSource_211965-212090_p.csv.gz,309.024,317.809,30.001,35.682
GaiaSource_212091-212187_p.csv.gz,312.193,316.755,31.388,34.588
GaiaSource_212188-212305_p.csv.gz,313.598,320.269,32.802,35.683
GaiaSource_212306-212413_p.csv.gz,315.006,320.621,34.231,37.164
GaiaSource_212414-212504_p.csv.gz,311.486,319.211,32.798,38.679
GaiaSource_212505-212577_p.csv.gz,310.784,314.995,33.518,36.421
GaiaSource_212578-212643_p.csv.gz,309.729,314.295,34.230,37.166
GaiaSource_212644-212708_p.csv.gz,309.380,313.591,35.320,37.917
GaiaSource_212709-212786_p.csv.gz,310.783,316.403,35.689,38.675
GaiaSource_212787-212867_p.csv.gz,313.244,317.806,37.170,40.219
GaiaSource_212868-212939_p.csv.gz,312.188,315.699,37.547,40.227
GaiaSource_212940-213477_p.csv.gz,313.596,343.110,19.477,41.806
GaiaSource_213478-214410_p.csv.gz,331.883,348.740,22.030,31.383
GaiaSource_214411-215205_p.csv.gz,329.423,347.336,24.631,35.671
GaiaSource_215206-215772_p.csv.gz,326.250,337.485,26.957,32.781
GaiaSource_215773-216289_p.csv.gz,327.667,340.309,30.012,35.676
GaiaSource_216290-216807_p.csv.gz,331.879,343.108,32.800,38.678
GaiaSource_216808-217375_p.csv.gz,333.284,352.962,30.009,41.808
GaiaSource_217376-218124_p.csv.gz,343.137,355.063,32.811,41.801
GaiaSource_218125-218806_p.csv.gz,0.000,360.000,36.430,44.994
GaiaSource_218807-219318_p.csv.gz,340.319,360.000,35.691,48.135
GaiaSource_219319-219781_p.csv.gz,338.561,348.746,38.691,44.989
GaiaSource_219782-220140_p.csv.gz,337.512,347.995,40.627,47.345
GaiaSource_220141-220543_p.csv.gz,345.134,360.000,41.815,49.691
GaiaSource_220544-220854_p.csv.gz,347.145,360.000,44.998,51.250
GaiaSource_220855-221109_p.csv.gz,0.000,360.000,48.151,52.789
GaiaSource_221110-221396_p.csv.gz,0.000,360.000,30.002,54.331
GaiaSource_221397-221705_p.csv.gz,322.916,331.873,32.801,38.669
GaiaSource_221706-221911_p.csv.gz,320.628,326.245,33.334,37.540
GaiaSource_221912-222128_p.csv.gz,322.039,329.056,35.703,40.221
GaiaSource_222129-222387_p.csv.gz,324.146,334.681,35.687,41.805
GaiaSource_222388-222666_p.csv.gz,329.773,337.497,38.690,43.401
GaiaSource_222667-222892_p.csv.gz,326.253,336.772,38.693,44.989
GaiaSource_222893-223087_p.csv.gz,326.695,335.996,41.815,45.781
GaiaSource_223088-223243_p.csv.gz,319.929,335.587,35.693,48.137
GaiaSource_223244-223373_p.csv.gz,318.518,323.433,36.425,40.219
GaiaSource_223374-223482_p.csv.gz,317.817,322.026,37.925,41.408
GaiaSource_223483-223623_p.csv.gz,320.101,326.248,38.693,43.397
GaiaSource_223624-223735_p.csv.gz,320.632,325.154,40.624,44.589
GaiaSource_223736-223828_p.csv.gz,316.411,324.294,38.684,44.990
GaiaSource_223829-223925_p.csv.gz,315.003,320.623,40.234,43.404
GaiaSource_223926-223996_p.csv.gz,315.717,319.349,41.818,44.595
GaiaSource_223997-224078_p.csv.gz,317.606,323.112,41.813,44.989
GaiaSource_224079-224153_p.csv.gz,318.693,323.998,43.413,46.568
GaiaSource_224154-224222_p.csv.gz,318.003,322.752,44.205,47.159
GaiaSource_224223-224339_p.csv.gz,319.661,329.501,41.814,48.134
GaiaSource_224340-224445_p.csv.gz,324.006,329.997,43.415,46.568
GaiaSource_224446-224553_p.csv.gz,325.388,332.065,44.999,48.136
GaiaSource_224554-224662_p.csv.gz,328.434,334.282,46.383,49.694
GaiaSource_224663-224754_p.csv.gz,327.859,333.325,47.359,50.477
GaiaSource_224755-224837_p.csv.gz,322.759,332.829,44.998,51.251
GaiaSource_224838-224922_p.csv.gz,322.107,327.854,46.574,49.700
